Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5
0	2	4	4	4	3	3	3	4	3	3
100	1	4	1	4	3	3	3	1	3	3
200	1	4	1	4	3	3	3	1	3	3
300	3	4	3	4	3	3	3	3	3	3
400	2	4	2	4	3	3	3	2	3	3
500	1	4	1	4	3	3	3	1	3	3
600	2	4	2	4	3	3	3	2	3	3
700	1	4	2	4	3	3	3	4	3	3
800	4	4	2	4	3	3	3	4	3	3
900	3	4	3	4	3	3	3	3	3	3
1000	2	4	2	4	3	3	3	2	3	3
1100	4	4	1	4	3	3	3	4	3	3
1200	3	4	3	4	3	3	3	3	3	3
1300	3	4	6	4	3	3	3	6	3	3
1400	3	4	3	4	3	3	3	3	3	3
1500	3	4	3	4	3	3	3	3	3	3
1600	3	4	3	4	3	3	3	3	3	3
1700	3	4	3	4	3	3	3	3	3	3
1800	1	4	6	4	3	3	3	7	3	3
1900	4	4	2	4	3	3	3	4	3	3
2000	3	4	3	4	3	3	3	3	3	3
2100	6	4	3	4	3	3	3	6	3	3
2200	3	4	3	4	3	3	3	3	3	3
2300	3	4	3	4	3	3	3	3	3	3
2400	1	4	1	4	3	3	3	1	3	3
2500	3	4	3	4	3	3	3	3	3	3
2600	1	4	3	4	1	3	3	1	3	3
2700	4	4	3	4	1	3	3	4	3	3
2800	3	4	3	4	3	3	3	3	3	3
2900	1	4	2	4	3	3	3	4	3	3
3000	3	4	3	4	3	3	3	3	3	3
3100	2	4	2	4	3	3	3	2	3	3
3200	3	4	3	4	3	3	3	3	3	3
3300	3	4	3	4	3	3	3	3	3	3
3400	3	4	3	4	3	3	3	3	3	3
3500	3	4	3	4	3	3	3	3	3	3
3600	3	4	3	4	3	3	3	3	3	3
3700	3	4	3	4	3	3	3	3	3	3
3800	7	4	2	4	3	3	3	7	3	3
3900	1	4	1	4	3	3	3	1	3	3
4000	2	4	2	4	3	3	3	2	3	3
4100	1	4	4	4	3	3	3	4	3	3
4200	2	4	2	4	3	3	3	2	3	3
4300	5	4	1	4	3	3	3	5	3	3
4400	3	4	3	4	3	3	3	3	3	3
4500	6	4	2	4	3	3	3	6	3	3
4600	2	4	3	4	2	3	3	2	3	3
4700	3	4	3	4	3	3	3	3	3	3
4800	1	4	1	4	3	3	3	1	3	3
4900	2	4	2	4	3	3	3	2	3	3
5000	1	4	1	4	3	3	3	1	3	3
5100	4	4	1	4	3	3	3	4	3	3
5200	1	4	1	4	3	3	3	1	3	3
5300	2	4	2	4	3	3	3	2	3	3
5400	2	4	2	4	3	3	3	2	3	3
5500	1	4	1	4	3	3	3	1	3	3
5600	1	4	1	4	3	3	3	1	3	3
5700	3	4	3	4	3	3	3	3	3	3
5800	3	4	3	4	3	3	3	3	3	3
5900	3	4	5	4	3	3	3	5	3	3
6000	1	4	1	4	3	3	3	1	3	3
6100	2	4	2	4	3	3	3	2	3	3
6200	3	4	5	4	3	3	3	5	3	3
6300	1	4	1	4	3	3	3	1	3	3
6400	1	4	1	4	3	3	3	1	3	3
6500	3	4	3	4	3	3	3	3	3	3
6600	1	4	5	4	3	3	3	5	3	3
6700	1	4	5	4	3	3	3	5	3	3
6800	1	4	1	4	3	3	3	1	3	3
6900	2	4	2	4	3	3	3	2	3	3
7000	3	4	3	4	3	3	3	3	3	3
7100	1	4	1	4	3	3	3	1	3	3
7200	1	4	1	4	3	3	3	1	3	3
7300	5	4	1	4	3	3	3	5	3	3
