Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7
0	3	2	6	1	2	3	4	4	5	6	4	5	4	4
100	1	2	1	1	3	3	4	4	3	1	4	3	4	4
200	2	2	1	1	3	3	4	4	5	5	4	11	4	4
300	2	2	1	1	10	3	4	4	2	5	4	14	4	4
400	1	2	1	1	3	3	4	4	3	1	4	3	4	4
500	3	2	1	1	3	3	4	4	3	6	4	3	4	4
600	1	2	1	1	3	3	4	4	3	1	4	3	4	4
700	2	2	2	1	3	3	4	4	3	2	4	3	4	4
800	1	2	1	1	3	3	4	4	4	1	4	10	4	4
900	5	2	1	1	3	3	4	4	3	5	4	3	4	4
1000	1	2	1	1	3	3	4	4	3	1	4	3	4	4
1100	5	2	1	1	3	3	4	4	3	5	4	3	4	4
1200	2	2	2	1	3	3	4	4	3	2	4	3	4	4
1300	2	2	1	1	2	3	4	4	2	5	4	2	4	4
1400	1	2	1	1	2	3	4	4	2	1	4	2	4	4
1500	2	2	1	1	4	3	4	4	10	5	4	10	4	4
1600	2	2	2	1	4	3	4	4	4	2	4	4	4	4
1700	1	2	1	1	1	3	4	4	1	1	4	1	4	4
1800	2	2	2	1	3	3	4	4	3	2	4	3	4	4
1900	6	2	1	1	3	3	4	4	3	6	4	3	4	4
2000	1	2	1	1	3	3	4	4	4	1	4	10	4	4
2100	2	2	2	1	4	3	4	4	4	2	4	4	4	4
2200	2	2	2	1	3	3	4	4	3	2	4	3	4	4
2300	2	2	5	1	3	3	4	4	7	5	4	7	4	4
2400	2	2	1	1	2	3	4	4	2	5	4	2	4	4
2500	1	2	1	1	3	3	4	4	3	1	4	3	4	4
2600	2	2	2	1	3	3	4	4	3	2	4	3	4	4
2700	1	2	1	1	4	3	4	4	4	1	4	4	4	4
2800	1	2	1	1	4	3	4	4	4	1	4	4	4	4
2900	1	2	6	1	2	3	4	4	2	6	4	2	4	4
3000	4	2	4	1	2	3	4	4	2	4	4	2	4	4
3100	2	2	5	1	4	3	4	4	4	5	4	4	4	4
3200	2	2	1	1	4	3	4	4	4	5	4	4	4	4
3300	4	2	4	1	4	3	4	4	4	4	4	4	4	4
3400	1	2	1	1	4	3	4	4	4	1	4	4	4	4
3500	1	2	1	1	3	3	4	4	3	1	4	3	4	4
3600	2	2	2	1	2	3	4	4	2	2	4	2	4	4
3700	2	2	2	1	4	3	4	4	4	2	4	4	4	4
3800	2	2	2	1	6	3	4	4	2	2	4	11	4	4
