Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-28761.21	-28745.75	-15.45729	15.26201	0.506278	0.00752344	0.043385	0.442814	0.01077637	4.95002	0.183811	0.288992	0.959998	0.0495002	0.00183811	0.00288992	0.00959998	0.747866	0.252134	0.2651314	0.001	1.59615	0	1.775335	3	1	1	1.106021	0.252134	0.747866	0.01	0.01	3	0.695956	0.89928	1.06343	1.34133
100	-17388.4	-17378.26	-10.14114	46.80532	0.241104	0.25524	0.25193	0.251726	0.09269819	0.312097	0.329226	0.211364	1.21472	0.00502564	0.00530147	0.00340355	0.0195604	0.179517	0.820483	0.006141137	0.00320148	0.450861	0	0.930083	3.52495	1	1	1.342196	0.8204828	0.1795172	1.495354	0.01610283	3.52495	0.820803	0.946639	1.04117	1.19139
200	-17391.79	-17378.44	-13.34498	18.45371	0.246636	0.243176	0.255018	0.25517	0.09342058	0.591446	0.637655	1.30399	0.651913	0.00684872	0.00738381	0.0150997	0.00754891	0.20191	0.79809	0.03752499	0.01576204	0.928539	0	0.2863909	3.271593	1	1	1.39303	0.7980898	0.2019102	1.66375	0.01157963	3.271593	0.721553	0.909765	1.05937	1.30931
300	-17388.02	-17373.83	-14.18877	34.30725	0.250316	0.250966	0.245079	0.25364	0.1760175	0.125303	0.313121	1.54167	0.174704	0.00155757	0.00389223	0.0191636	0.00217165	0.790027	0.209973	0.02342096	0.004795626	0.144516	0	0.7755354	3.713987	1	1	1.340453	0.2099727	0.7900273	23.44054	0.01243043	3.713987	0.792097	0.936561	1.04681	1.22453
400	-17390.23	-17371.12	-19.10405	31.37824	0.252465	0.245281	0.251478	0.250775	0.1055403	0.341031	0.562108	2.19622	1.33332	0.00192371	0.00317078	0.0123886	0.00752108	0.97579	0.0242097	0.2382702	0.01067851	0.118182	0	0.8681093	3.906867	1	1	1.3137	0.02420968	0.9757903	31.22193	0.005640876	3.906867	0.783083	0.933301	1.04852	1.23509
500	-17389.55	-17371.67	-17.87191	27.1867	0.251425	0.245622	0.250747	0.252207	0.1444033	0.209009	0.420762	4.50252	2.4043	0.000762985	0.00153599	0.0164364	0.00877687	0.985167	0.0148333	0.04306549	0.003058463	0.305179	0	0.4772772	3.230798	1	1	1.308563	0.01483334	0.9851667	12.86378	0.003650494	3.230798	0.767833	0.927679	1.05135	1.25314
600	-17388.92	-17373.42	-15.50702	31.42484	0.253406	0.243368	0.252114	0.251112	0.08088473	0.102006	0.129182	2.07511	0.223957	0.0010517	0.00133189	0.0213948	0.00230904	0.0284396	0.97156	0.03563068	0.04334229	0.262557	0	0.8563512	3.107122	1	1	1.326858	0.9715604	0.02843962	95.89318	0.01031021	3.107122	0.783236	0.933357	1.04849	1.23492
700	-17389.93	-17372.21	-17.72432	35.78535	0.254982	0.245401	0.24804	0.251577	0.06528387	0.0749418	0.101995	1.95816	1.54967	0.000559621	0.000761641	0.0146224	0.011572	0.232304	0.767696	0.01677368	0.01175333	1.56603	0	1.52711	3.681497	1	1	1.35862	0.7676963	0.2323037	48.00737	0.007467412	3.681497	0.796234	0.938042	1.04601	1.21971
800	-17390.69	-17370.9	-19.78257	35.22515	0.251083	0.248885	0.249424	0.250608	0.0295173	0.146064	0.239742	2.9796	4.23768	0.000626712	0.00102866	0.0127845	0.0181825	0.433696	0.566304	0.05425393	0.004269839	0.33038	0	1.634962	3.210241	1	1	1.261291	0.5663042	0.4336958	20.52427	0.004290679	3.210241	0.794696	0.937493	1.04631	1.2215
900	-17399.62	-17382.81	-16.80822	22.68719	0.250785	0.245711	0.248365	0.25514	0.2287048	0.101129	0.280054	3.23771	6.00076	0.000294359	0.000815159	0.00942407	0.0174665	0.352458	0.647542	0.06373498	0.01533792	0.787156	0	1.347034	3.836395	1	1	1.27777	0.6475425	0.3524575	0.09168952	0.00291072	3.836395	0.747177	0.919845	1.05503	1.27794
