Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-20504.81	-20496.77	-8.037533	5.466221	0.153209	0.466561	0.0637006	0.316529	0.05774983	1.2324	0.931061	0.249495	1.32353	0.012324	0.00931061	0.00249495	0.0132353	0.389997	0.610003	0.04906779	0.001	2.88929	1.13845	0	0.4623	3	1	1	1	2.74188	0.6100029	0.3899971	0.01	0.01	3	0.52036	0.814338	1.08241	1.58289
100	-17410.56	-17394.66	-15.90319	43.12423	0.255609	0.239967	0.25579	0.248634	0.06499524	0.465423	2.03311	0.878278	0.673941	0.00610635	0.0266744	0.011523	0.0088421	0.230538	0.769462	0.2051672	0.004697838	2.3204	0.937295	0	0.7355229	3.527209	1	1	1	1.424991	0.7694618	0.2305382	1.509429	0.01311999	3.527209	0.81362	0.94416	1.04261	1.19961
200	-17400.15	-17388.48	-11.67554	17.47876	0.246192	0.253638	0.253308	0.246863	0.2591689	0.727317	0.739171	0.327728	0.395922	0.018177	0.0184732	0.00819053	0.00989483	0.119078	0.880922	0.01537857	0.001632704	2.71919	0.918109	0	0.339843	3.868234	1	1	1	1.240652	0.8809219	0.1190781	2.402129	0.02499184	3.868234	0.71444	0.906894	1.06053	1.31814
300	-17407.28	-17391.3	-15.98851	21.34507	0.25125	0.250935	0.252255	0.24556	0.2017394	0.396358	0.5412	0.443276	0.350155	0.0105596	0.0144184	0.0118095	0.00932862	0.289953	0.710047	0.3328195	0.003843635	2.61437	0.917145	0	0.3245888	3.420696	1	1	1	1.164895	0.7100474	0.2899526	6.614886	0.02664144	3.420696	0.739844	0.917002	1.0563	1.28685
400	-17402.61	-17393.36	-9.247794	17.90763	0.241763	0.247127	0.262569	0.248542	0.01532784	0.273474	0.573842	0.317003	0.540334	0.00560264	0.0117562	0.00649441	0.0110698	0.290061	0.709939	0.04073	0.001497619	2.90182	1.09365	0	0.3980409	3.977764	1	1	1	1.29922	0.7099386	0.2900614	2.296869	0.0204869	3.977764	0.717637	0.908188	1.06001	1.31416
500	-17403.45	-17393.11	-10.34078	38.81166	0.265392	0.241813	0.244238	0.248557	0.07483758	0.935835	0.867791	0.205893	0.677699	0.0204852	0.0189958	0.00450694	0.0148347	0.0745696	0.92543	0.06828511	3.97374e-06	3.24932	0.920066	0	0.4325038	3.93028	1	1	1	1.277046	0.9254304	0.07456964	1.495749	0.02188979	3.93028	0.803981	0.940789	1.04451	1.21072
600	-17398.1	-17389.16	-8.94074	41.48932	0.248619	0.252772	0.245116	0.253492	0.09161286	0.155353	0.292745	0.190955	0.740444	0.00419285	0.00790093	0.00515372	0.019984	0.0405916	0.959408	0.07137139	0.0003454809	2.7293	1.01669	0	0.3747295	3.065816	1	1	1	1.393353	0.9594084	0.04059162	1.560464	0.02698914	3.065816	0.810138	0.942948	1.0433	1.20362
700	-17404.15	-17390.51	-13.64317	32.83784	0.240708	0.244399	0.25666	0.258233	0.03535153	0.141478	0.188652	0.0881754	0.601415	0.00428591	0.005715	0.00267117	0.0182191	0.0805652	0.919435	0.009249852	0.00564974	2.38897	0.84556	0	0.2228081	3.606608	1	1	1	1.181431	0.9194348	0.08056521	2.42654	0.03029379	3.606608	0.78772	0.934984	1.04764	1.22965
800	-17397.61	-17386.14	-11.47114	28.31333	0.248733	0.253168	0.247151	0.250947	0.1027599	0.202653	0.507575	0.184965	0.366116	0.00702894	0.0176051	0.00641544	0.0126986	0.117045	0.882955	0.08037671	0.0003084839	2.47476	0.977355	0	0.302509	3.89492	1	1	1	1.1672	0.882955	0.117045	2.84163	0.03468464	3.89492	0.77225	0.929321	1.05054	1.24789
900	-17403.82	-17390.92	-12.90178	24.26438	0.246589	0.254985	0.243261	0.255166	0.1362266	0.0673556	0.16012	0.191769	0.121424	0.00453753	0.0107868	0.0129189	0.00817995	0.0992239	0.900776	0.1789728	0.0013502	3.04893	0.964032	0	0.325856	3.754015	1	1	1	1.437965	0.9007761	0.09922393	2.999419	0.06736681	3.754015	0.755039	0.922857	1.05365	1.26845
1000	-17400.52	-17390	-10.51791	35.31162	0.259447	0.247578	0.250309	0.242666	0.03461071	0.09628	0.181469	0.249933	0.245078	0.00378501	0.00713399	0.00982548	0.00963463	0.245105	0.754895	0.1158561	0.0001809853	2.75593	1.01997	0	0.4136303	3.725118	1	1	1	1.404593	0.7548952	0.2451048	3.967626	0.03931254	3.725118	0.794936	0.937578	1.04627	1.22122
1100	-17396.85	-17386.82	-10.03261	20.40114	0.254494	0.252747	0.246913	0.245846	0.07623619	0.0459156	0.10303	0.61816	0.412322	0.00105207	0.00236075	0.014164	0.00944761	0.0426862	0.957314	0.04162925	0.001442164	2.68507	0.957812	0	0.5951162	3.400772	1	1	1	1.159658	0.9573138	0.04268616	4.257415	0.0229132	3.400772	0.73428	0.914823	1.05725	1.29365
1200	-17392.83	-17377.86	-14.96956	8.829228	0.251014	0.250934	0.250659	0.247393	0.1502133	0.0792706	0.0827667	0.959954	1.05915	0.00104267	0.00108866	0.0126266	0.0139313	0.125938	0.874062	0.02072353	0.003815123	3.23831	0.85935	0	1.285323	3.394771	1	1	1	1.343511	0.8740623	0.1259377	45.38855	0.01315331	3.394771	0.610416	0.860959	1.0748	1.45383
1300	-17393.76	-17377.9	-15.855	25.2218	0.249557	0.25152	0.253559	0.245363	0.1246006	0.0213097	0.0639397	1.22572	0.841986	0.000267346	0.000802172	0.0153775	0.0105634	0.52083	0.47917	0.01306305	0.02283692	2.82992	1.03992	0	0.884311	3.917079	1	1	1	1.24694	0.4791702	0.5208298	63.5391	0.01254576	3.917079	0.759464	0.924536	1.05286	1.26314
