Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-20745.13	-20736.42	-8.71253	43.10544	0.0890171	0.0816579	0.406192	0.423133	0.2568704	0.316719	0.12626	0.862322	0.349185	0.00316719	0.0012626	0.00862322	0.00349185	0.633602	0.366398	0.07383127	1.51013	1.69566	0	1.097251	3.001528	1	1	1	2.240948	0.3663979	0.6336021	0.01	3.001528	0.813581	0.944146	1.04261	1.19966
100	-17614.58	-17606.37	-8.20697	16.14158	0.248394	0.247415	0.248296	0.255895	0.1383951	0.153977	0.136184	0.785219	0.135546	0.0035412	0.00313198	0.0180586	0.00311732	0.259804	0.740196	0.06932124	1.67769	1.52624	0	0.6126435	3.396619	1	1	1	2.287937	0.7401964	0.2598036	0.02299821	3.396619	0.703718	0.902504	1.06223	1.33155
200	-17620.91	-17607.26	-13.65118	27.89914	0.245245	0.248581	0.254009	0.252166	0.2615233	0.305131	0.378391	0.797212	1.37325	0.00430725	0.0053414	0.0112535	0.019385	0.0547679	0.945232	0.001293428	2.67839	2.5911	0	2.699437	3.24212	1	1	1	2.440306	0.9452321	0.05476792	0.01411608	3.24212	0.770656	0.92873	1.05083	1.24978
300	-17611.8	-17604.18	-7.619568	36.49157	0.249441	0.250081	0.249442	0.251035	0.08045122	0.296346	0.278449	1.36718	0.256053	0.00275014	0.00258406	0.0126877	0.00237622	0.0212725	0.978728	0.06309279	0.861532	3.46609	0	0.3844906	3.790812	1	1	1	1.9708	0.9787275	0.02127248	0.009280164	3.790812	0.798125	0.938715	1.04565	1.21751
400	-17621.56	-17610.17	-11.38482	23.83292	0.256442	0.249237	0.254507	0.239814	0.05151014	0.413752	0.324163	1.63987	0.577194	0.00358498	0.00280873	0.0142088	0.00500113	0.313064	0.686936	0.1340948	2.85957	2.66507	0	1.969711	3.888315	1	1	1	1.98158	0.6869363	0.3130637	0.008664563	3.888315	0.752963	0.922065	1.05402	1.27095
500	-17617.19	-17605.6	-11.5848	32.4607	0.255594	0.242256	0.249881	0.252269	0.1757323	0.336997	0.544206	2.31065	0.17485	0.00296664	0.00479073	0.020341	0.00153924	0.0628796	0.93712	0.1544831	1.59279	1.94803	0	1.070777	3.296733	1	1	1	2.427352	0.9371204	0.06287958	0.008803154	3.296733	0.786551	0.934561	1.04787	1.23102
600	-17614.68	-17605.34	-9.334645	25.95129	0.251255	0.247551	0.252454	0.248741	0.1309316	0.502841	0.578218	2.11299	0.63755	0.00388727	0.00446999	0.0163348	0.00492866	0.388778	0.611222	0.06899664	2.00671	0.623073	0	1.016442	3.00708	1	1	1	1.904052	0.6112222	0.3887778	0.007730624	3.00708	0.762677	0.925748	1.05228	1.25929
700	-17614.96	-17604.52	-10.43979	41.38848	0.250266	0.244141	0.249915	0.255678	0.06784038	0.814676	0.656228	1.82446	0.516583	0.00580553	0.0046764	0.0130014	0.00368127	0.608902	0.391098	0.1078182	1.56167	2.64809	0	1.190682	3.422197	1	1	1	2.271385	0.3910979	0.6089021	0.007126186	3.422197	0.809916	0.942871	1.04334	1.20387
800	-17614.44	-17603.9	-10.54434	47.64385	0.252259	0.245009	0.246202	0.256529	0.2400639	0.676122	0.716465	0.493551	1.53871	0.00688267	0.00729334	0.00502416	0.0156635	0.623539	0.376461	0.03706114	1.296	0.447976	0	1.109167	3.617694	1	1	1	2.127666	0.3764605	0.6235395	0.01017962	3.617694	0.822325	0.94716	1.04086	1.18966
900	-17616.48	-17605.79	-10.68639	24.8152	0.249304	0.248831	0.253086	0.248779	0.03533631	0.666854	0.644204	0.737893	4.0278	0.00452605	0.00437232	0.0050082	0.0273374	0.378883	0.621117	0.02773062	0.702293	2.74725	0	0.7454685	3.732106	1	1	1	2.29641	0.6211174	0.3788826	0.006787164	3.732106	0.757615	0.923836	1.05319	1.26536
