Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-22475.53	-22474.6	-0.9314073	20.12778	0.0647266	0.609889	0.26159	0.0637943	0.03682571	1.6843	0.40777	0.993638	0.328041	0.016843	0.0040777	0.00993638	0.00328041	0.894352	0.105648	0.04205869	0.001	2.98096	1.02672	0	0.651446	3	1	1	1	1.251308	0.1056481	0.8943519	0.01	0.01	3	0.7326	0.914161	1.05753	1.2957
100	-17391.27	-17390.97	-0.3014265	30.92504	0.244402	0.253331	0.246333	0.255934	0.1035804	0.0728209	0.205746	0.624159	0.285085	0.00169553	0.00479049	0.0145326	0.00663777	0.597874	0.402126	0.01528017	0.001	2.96927	0.97302	0	1.39311	3.858492	1	1	1	1.236716	0.4021256	0.5978744	0.01	0.0232835	3.858492	0.781579	0.932753	1.0488	1.23686
200	-17388.3	-17385.12	-3.182636	35.96982	0.252235	0.248501	0.252801	0.246463	0.1609063	0.184857	0.281094	1.11339	0.173958	0.00282328	0.00429309	0.0170045	0.00265683	0.286287	0.713713	0.1659636	0.001	3.00735	0.97862	0	1.486673	3.927147	1	1	1	1.352457	0.713713	0.286287	0.01	0.0152728	3.927147	0.796733	0.93822	1.04592	1.21913
300	-17387.52	-17388.33	0.8130382	27.41458	0.25361	0.243119	0.252588	0.250684	0.09023589	0.320346	0.223581	1.28361	0.237022	0.00448475	0.00313007	0.0179701	0.00331824	0.0244949	0.975505	0.006084918	0.001	3.0459	1.04346	0	0.8917528	3.603463	1	1	1	1.366976	0.9755051	0.02449489	0.01	0.0139997	3.603463	0.768747	0.92802	1.05118	1.25205
400	-17393.43	-17389.44	-3.993983	26.15856	0.256423	0.248449	0.247643	0.247485	0.2366012	0.683362	2.01408	1.50745	0.569894	0.00606889	0.0178869	0.0133875	0.00506119	0.307903	0.692097	0.01194491	0.001	2.99752	0.983743	0	0.4916609	3.852309	1	1	1	1.144195	0.6920966	0.3079034	0.01	0.00888093	3.852309	0.763567	0.926082	1.05212	1.25823
500	-17385.16	-17385.61	0.4535728	31.86556	0.250316	0.248719	0.247391	0.253575	0.03872861	0.223117	0.62351	0.880956	0.634205	0.00294873	0.00824034	0.0116428	0.00838169	0.0867621	0.913238	0.02635042	0.001	3.03125	0.97176	0	0.7416235	3.829835	1	1	1	1.216929	0.9132379	0.0867621	0.01	0.01321606	3.829835	0.784665	0.933877	1.04822	1.23324
600	-17388.44	-17385.59	-2.841945	27.55719	0.250659	0.243692	0.249371	0.256279	0.0564909	0.115213	0.242489	1.64118	0.247968	0.00118495	0.00249397	0.0168793	0.00255031	0.200205	0.799795	0.09710315	0.001	2.96494	0.966354	0	1.894622	3.825744	1	1	1	1.321012	0.7997952	0.2002048	0.01	0.01028485	3.825744	0.769314	0.928231	1.05108	1.25138
700	-17394.48	-17388.67	-5.807485	43.95523	0.24715	0.253304	0.253249	0.246296	0.116567	0.26258	0.217709	1.91204	0.136448	0.00267711	0.00221964	0.019494	0.00139114	0.101881	0.898119	0.35741	0.001	2.97516	0.993576	0	1.142795	3.659367	1	1	1	1.275243	0.8981188	0.1018812	0.01	0.01019541	3.659367	0.815318	0.944748	1.04227	1.19767
800	-17392.22	-17390.61	-1.615551	37.90856	0.243023	0.250992	0.254621	0.251364	0.1261897	0.157957	0.428833	1.21273	2.30078	0.00118248	0.0032103	0.00907866	0.0172239	0.294639	0.705361	0.007390604	0.001	3.01604	0.954673	0	0.9656614	3.447645	1	1	1	1.219388	0.7053607	0.2946393	0.01	0.007486134	3.447645	0.801763	0.940006	1.04494	1.21329
900	-17395.81	-17387.96	-7.858127	25.02746	0.249878	0.240904	0.249099	0.260119	0.1859091	0.284438	0.439701	1.34431	4.14468	0.00114249	0.00176612	0.00539961	0.0166477	0.436549	0.563451	0.1393752	0.001	2.96646	0.987663	0	2.020321	3.982147	1	1	1	1.443347	0.5634511	0.4365489	0.01	0.004016636	3.982147	0.758586	0.924203	1.05302	1.26419
