Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-18483.96	-18479.84	-4.121237	23.03792	0.158509	0.342961	0.304202	0.194328	0.1138558	0.0618284	0.562101	0.452019	0.309185	0.000618284	0.00562101	0.00452019	0.00309185	0.970024	0.0299759	0.09092013	0.001	2.83526	1.85322	0	1.10771	3	1	1	1	0.3398443	0.0299759	0.9700241	0.01	0.01	3	0.748991	0.920543	1.05472	1.27575
100	-17386.97	-17376.74	-10.22299	41.83266	0.253866	0.249518	0.249693	0.246922	0.2593786	0.0545248	0.152844	0.859695	0.739629	0.000844807	0.00236817	0.0133201	0.0114598	0.186671	0.813329	0.01241097	0.005416932	2.91135	2.02501	0	0.3869149	3.338716	1	1	1	1.251941	0.8133294	0.1866706	1.988898	0.015494	3.338716	0.810885	0.943209	1.04315	1.20276
200	-17388.15	-17379.41	-8.741114	15.40344	0.248343	0.243776	0.254481	0.2534	0.07058664	0.800012	0.886025	1.35512	0.480745	0.00960104	0.0106333	0.0162629	0.00576948	0.29145	0.70855	0.03122408	0.001971815	3.03847	1.82759	0	0.42804	3.404886	1	1	1	1.391534	0.7085495	0.2914505	0.3712985	0.01200112	3.404886	0.697246	0.899818	1.06323	1.3397
300	-17395.28	-17383.87	-11.40588	17.65109	0.245897	0.256594	0.254817	0.242691	0.03550504	0.0541292	0.126142	0.716923	0.20679	0.00108356	0.00252511	0.0143513	0.00413952	0.110286	0.889714	0.06730236	0.008186805	2.86146	1.83376	0	0.4693806	3.96353	1	1	1	1.240964	0.8897145	0.1102855	5.892799	0.02001795	3.96353	0.715738	0.90742	1.06032	1.31652
400	-17391.08	-17383.65	-7.432889	4.556222	0.261158	0.246753	0.245292	0.246797	0.03320151	0.44193	0.386993	1.81878	0.714298	0.00371845	0.0032562	0.0153034	0.00601018	0.405249	0.594751	0.01346692	0.005893002	3.06334	2.02339	0	1.117333	3.745505	1	1	1	1.287369	0.5947512	0.4052488	1.003578	0.008414113	3.745505	0.482532	0.792485	1.08398	1.64101
500	-17389.66	-17378.54	-11.11826	48.4606	0.249716	0.241635	0.252854	0.255795	0.1875453	0.335419	0.418412	0.76406	1.20771	0.0035751	0.00445968	0.00814382	0.0128725	0.449822	0.550178	0.04324337	0.005182933	2.86964	1.94678	0	0.3123811	3.902987	1	1	1	1.410788	0.5501785	0.4498215	3.308539	0.0106586	3.902987	0.82377	0.947654	1.04057	1.18801
600	-17389.47	-17380.35	-9.120966	39.15495	0.248503	0.243156	0.257196	0.251145	0.06195878	0.116189	0.123029	0.444917	1.33218	0.0013531	0.00143276	0.00518137	0.0155142	0.0913821	0.908618	0.01579118	0.004487756	3.14292	1.83423	0	0.6760591	3.964428	1	1	1	1.514904	0.9086179	0.09138213	1.575137	0.0116457	3.964428	0.804804	0.941079	1.04435	1.20977
700	-17390.23	-17380.47	-9.757962	4.171904	0.251835	0.245848	0.252723	0.249595	0.3235417	0.123453	0.104368	0.520232	0.878719	0.0019534	0.00165141	0.00823162	0.013904	0.203018	0.796982	0.005929951	0.009073803	3.05725	1.99824	0	1.030276	3.747004	1	1	1	1.424095	0.7969824	0.2030176	1.522002	0.01582299	3.747004	0.463563	0.780951	1.08434	1.67115
800	-17389.08	-17378.52	-10.56547	40.19349	0.253112	0.239937	0.249448	0.257503	0.04754253	0.0429783	0.130162	0.047317	1.02816	0.00087971	0.00266425	0.000968517	0.021045	0.0107983	0.989202	0.00341662	0.001063364	3.12823	1.95792	0	0.4537977	3.806832	1	1	1	1.274729	0.9892017	0.01079826	4.029142	0.0204687	3.806832	0.807232	0.941932	1.04387	1.20697
900	-17393.23	-17382.26	-10.96476	5.855429	0.253274	0.248781	0.246367	0.251579	0.03948519	0.0318998	0.0874981	0.338483	1.43771	0.000454282	0.00124605	0.0048203	0.0204742	0.568218	0.431782	0.05814674	0.02036038	3.08436	1.84682	0	0.5904404	3.534537	1	1	1	1.258381	0.431782	0.568218	1.837922	0.01424087	3.534537	0.534144	0.821945	1.08158	1.56233
1000	-17389.64	-17375.89	-13.75925	10.40131	0.249747	0.246389	0.247676	0.256187	0.1056345	0.0298687	0.0464583	0.325551	1.67855	0.000528062	0.000821358	0.00575558	0.0296758	0.104077	0.895923	0.05381705	0.001934105	3.05775	2.05751	0	0.3193687	3.949747	1	1	1	1.105618	0.8959234	0.1040766	6.209403	0.01767948	3.949747	0.637927	0.873865	1.07154	1.41667
1100	-17392	-17375.58	-16.4161	38.01369	0.247523	0.249277	0.253362	0.249837	0.1112108	0.0325759	0.0756282	0.605487	2.488	0.00051524	0.00119618	0.00957676	0.0393517	0.882319	0.117681	0.07254374	0.01856583	3.01189	1.9138	0	0.3885122	3.205769	1	1	1	1.386006	0.1176815	0.8823185	65.89989	0.01581662	3.205769	0.802025	0.940098	1.04489	1.21298
1200	-17393.37	-17378.14	-15.23047	23.51266	0.248253	0.242395	0.262397	0.246954	0.1833801	0.0348135	0.0475488	0.358408	2.98538	0.000502847	0.000686797	0.00517686	0.0431209	0.466843	0.533157	0.02288867	0.01602306	3.0598	1.93796	0	1.438992	3.700519	1	1	1	1.322432	0.5331573	0.4668427	6.813151	0.01444403	3.700519	0.751386	0.921462	1.0543	1.27286
1300	-17392.09	-17373.36	-18.73162	26.35084	0.247379	0.251518	0.252728	0.248375	0.04664189	0.0544593	0.0695312	0.513451	4.85503	0.000561021	0.000716286	0.0052894	0.0500148	0.349199	0.650801	0.05882501	0.01005446	2.82308	1.77305	0	1.248631	3.36509	1	1	1	1.290456	0.6508013	0.3491987	13.56247	0.01030166	3.36509	0.764383	0.926388	1.05197	1.25725
1400	-17394.91	-17374.31	-20.60009	17.37308	0.250163	0.247083	0.254245	0.248509	0.114209	0.0503545	0.143295	0.198158	3.81086	0.000444799	0.00126578	0.0017504	0.0336626	0.865754	0.134246	0.1985774	0.009839265	2.75169	1.8768	0	0.4711285	3.949484	1	1	1	1.364706	0.1342458	0.8657542	54.95764	0.008833348	3.949484	0.713636	0.906567	1.06066	1.31914
1500	-17387.93	-17373.87	-14.06328	6.947461	0.244845	0.252806	0.254632	0.247717	0.0523254	0.0485834	0.0833198	0.812728	5.25554	0.000299674	0.000513937	0.00501311	0.0324175	0.891854	0.108146	0.02187033	0.01474417	2.98715	2.01224	0	0.3898345	3.946642	1	1	1	1.337297	0.1081462	0.8918538	12.91971	0.00616825	3.946642	0.567171	0.839455	1.07908	1.5143
1600	-17392.24	-17377.59	-14.6472	48.36517	0.255573	0.248772	0.246128	0.249527	0.02079369	0.0548363	0.0917955	0.282478	5.30102	0.000469379	0.000785737	0.00241791	0.0453749	0.78145	0.21855	0.02953966	0.003941675	3.00442	1.94525	0	0.4572082	3.436147	1	1	1	1.225584	0.2185497	0.7814503	45.10009	0.008559647	3.436147	0.823603	0.947597	1.0406	1.1882
