Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-24921.21	-24909.78	-11.43176	8.340825	0.251456	0.0396136	0.667515	0.0414153	0.4308717	1.59367	0.0466251	0.885728	0.925831	0.0159367	0.000466251	0.00885728	0.00925831	0.0834	0.9166	0.1655685	0.001	2.86612	1.10422	0	1.138494	3	1	1	1	0.3541345	0.9166	0.08340001	0.01	0.01	3	0.600473	0.85615	1.07587	1.4675
100	-17390.04	-17382.39	-7.650766	32.04274	0.247141	0.244906	0.255834	0.252119	0.118733	0.48906	0.765567	0.754084	0.793499	0.00717662	0.0112342	0.0110657	0.011644	0.154545	0.845455	0.04549378	0.01296701	2.99362	1.01781	0	1.584783	3.287747	1	1	1	1.155136	0.8454551	0.1545449	0.4591863	0.01467431	3.287747	0.785232	0.934082	1.04812	1.23257
200	-17386.88	-17378.62	-8.253044	41.99745	0.251753	0.24944	0.250756	0.248052	0.1377661	0.123474	0.148341	0.684959	0.548452	0.00197065	0.00236753	0.0109319	0.00875328	0.023816	0.976184	0.04358897	0.02042948	2.98533	0.851105	0	0.5215382	3.838406	1	1	1	1.204589	0.976184	0.02381599	2.323081	0.01595997	3.838406	0.811241	0.943333	1.04308	1.20235
300	-17384.89	-17376.1	-8.785453	39.17499	0.247773	0.248157	0.251284	0.252786	0.1565361	0.157761	0.191382	0.817014	0.227439	0.00333807	0.00404946	0.0172872	0.0048124	0.104233	0.895767	0.03142807	0.003686851	2.94059	1.05689	0	0.3238224	3.372199	1	1	1	1.221379	0.8957666	0.1042334	3.794554	0.02115903	3.372199	0.804852	0.941095	1.04434	1.20971
400	-17387.71	-17376.13	-11.58407	6.093058	0.248828	0.249606	0.251749	0.249817	0.09225758	0.36723	0.699154	1.39423	0.462072	0.0042442	0.00808037	0.0161136	0.00534033	0.0312819	0.968718	0.04071232	0.002447251	2.98901	0.984779	0	0.2508844	3.613572	1	1	1	1.220783	0.9687181	0.0312819	15.93972	0.01155735	3.613572	0.541987	0.826193	1.08105	1.55077
500	-17399	-17387.3	-11.70542	1.921623	0.240651	0.26073	0.244164	0.254456	0.2665299	0.657877	1.01649	1.23758	0.353653	0.0102296	0.0158057	0.0192437	0.00549908	0.340933	0.659067	0.06284081	0.001628604	3.01104	0.933697	0	0.3703	3.205346	1	1	1	1.213783	0.6590673	0.3409327	3.335817	0.01554938	3.205346	0.283736	0.646412	1.0679	2.00195
600	-17383.28	-17375.17	-8.111548	25.23228	0.251509	0.245339	0.248222	0.25493	0.1205608	0.0400262	0.0992024	0.501497	0.143138	0.00125492	0.00311025	0.0157232	0.00448775	0.174678	0.825322	0.0009622402	0.001271237	3.04677	1.12922	0	0.553684	3.680668	1	1	1	1.309428	0.8253223	0.1746777	0.9361941	0.03135257	3.680668	0.759512	0.924554	1.05285	1.26308
700	-17384.65	-17377.14	-7.515955	17.51363	0.247627	0.255119	0.24859	0.248664	0.09685462	0.203786	0.356778	0.965771	0.348554	0.00332238	0.00581665	0.0157452	0.00568258	0.169206	0.830794	0.03008297	0.003639749	3.09834	0.989517	0	0.4421379	3.610105	1	1	1	1.208155	0.8307937	0.1692063	2.913557	0.01630328	3.610105	0.714704	0.907001	1.06049	1.31781
800	-17384.66	-17374.07	-10.58967	12.01478	0.258085	0.246968	0.251136	0.24381	0.04854023	0.0426528	0.0984968	1.17762	0.952446	0.000540667	0.00124855	0.0149275	0.0120732	0.47001	0.52999	0.005840092	0.006160223	2.9354	0.917316	0	0.8641982	3.508452	1	1	1	1.32197	0.52999	0.47001	8.986718	0.01267599	3.508452	0.660778	0.884155	1.06853	1.38653
900	-17383.42	-17372.35	-11.07167	11.49038	0.253449	0.248586	0.248579	0.249386	0.06283038	0.0674728	0.0911057	1.02884	0.873599	0.000885988	0.00119631	0.0135097	0.0114713	0.511037	0.488963	0.002693	0.00576431	2.94817	0.896794	0	1.3096	3.421693	1	1	1	1.245664	0.4889629	0.5110371	17.98249	0.01313103	3.421693	0.65384	0.881071	1.06947	1.39562
