Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-23936.62	-23932.59	-4.023075	15.30741	0.0368395	0.0475777	0.527991	0.387592	0.1425099	0.282459	0.0986766	0.600657	0.361231	0.00282459	0.000986766	0.00600657	0.00361231	0.282234	0.717766	0.07830569	0.001	2.95511	1.11976	0	0.6821022	3	1	1	1	1.274463	0.7177656	0.2822344	0.01	0.01	3	0.696372	0.899454	1.06337	1.34081
100	-17389.77	-17375.06	-14.70573	9.688308	0.250954	0.247297	0.254043	0.247707	0.05326324	0.115068	0.384826	2.06397	0.39213	0.000889799	0.00297579	0.0159603	0.00303227	0.342715	0.657285	0.06726733	0.01163102	2.97132	0.569985	0	0.6531713	3.801821	1	1	1	1.502998	0.6572846	0.3427154	88.06086	0.007732814	3.801821	0.626208	0.868438	1.07297	1.43238
200	-17391.17	-17373.96	-17.21	43.96209	0.25439	0.252775	0.242542	0.250293	0.2687785	0.140545	0.186119	1.40777	1.53621	0.00118233	0.00156572	0.0118428	0.0129233	0.166879	0.833121	0.02847096	0.0251307	2.86701	0.622988	0	1.072247	3.517341	1	1	1	1.365892	0.8331215	0.1668785	96.99305	0.008412456	3.517341	0.815332	0.944753	1.04226	1.19765
300	-17385.91	-17372.41	-13.50482	24.75862	0.255918	0.244366	0.246124	0.253591	0.0990405	0.120769	0.198109	1.95226	0.754202	0.00100531	0.0016491	0.016251	0.00627814	0.282939	0.717061	0.002234558	0.01707549	2.76603	0.500006	0	0.7427738	3.504268	1	1	1	1.341824	0.7170614	0.2829386	56.87686	0.008324224	3.504268	0.757354	0.923737	1.05324	1.26567
400	-17391.23	-17373.25	-17.97597	30.5947	0.250276	0.243115	0.253776	0.252834	0.07420797	0.0455171	0.149418	2.35576	0.53013	0.000390547	0.00128204	0.0202129	0.00454863	0.117241	0.882759	0.2042068	0.02144253	2.99076	0.656032	0	0.8447555	3.109367	1	1	1	1.365537	0.8827589	0.1172411	61.18421	0.008580213	3.109367	0.780463	0.932345	1.04901	1.23818
500	-17390.04	-17372.31	-17.73571	17.24792	0.248439	0.249993	0.252272	0.249296	0.136947	0.0376173	0.142572	2.21335	1.59156	0.000215654	0.000817338	0.0126887	0.00912415	0.138179	0.861821	0.04456373	0.004440274	2.97165	0.734498	0	1.223851	3.997054	1	1	1	1.419249	0.8618211	0.1381789	39.75578	0.005732822	3.997054	0.712674	0.906176	1.06081	1.32034
600	-17391.45	-17377.81	-13.64015	31.19294	0.257019	0.24974	0.244867	0.248374	0.06072721	0.455535	0.451765	2.50845	1.57305	0.00220018	0.00218197	0.0121155	0.00759766	0.0157714	0.984229	0.001932991	0.007007414	2.63873	0.565449	0	1.07722	3.892231	1	1	1	1.220313	0.9842286	0.01577143	13.65334	0.004829881	3.892231	0.782472	0.933078	1.04864	1.23581
700	-17392.47	-17381.76	-10.71551	46.03805	0.250013	0.25479	0.251141	0.244056	0.03194877	0.141534	0.237217	2.46582	0.203643	0.00120966	0.00202746	0.021075	0.0017405	0.426826	0.573174	0.006097505	0.007232561	2.95079	0.550075	0	1.392407	3.224409	1	1	1	1.101527	0.5731743	0.4268257	2.31659	0.008546828	3.224409	0.819375	0.946148	1.04145	1.19302
800	-17391.75	-17373.53	-18.22306	11.81565	0.246683	0.25083	0.256828	0.24566	0.02237045	0.0648266	0.104328	2.55372	0.775436	0.000486795	0.000783422	0.0191764	0.0058229	0.725767	0.274233	0.0890328	0.02022243	3.03618	0.924238	0	1.635233	3.590882	1	1	1	1.253582	0.2742331	0.7257669	67.88382	0.007509197	3.590882	0.658194	0.883011	1.06889	1.38991
900	-17391.38	-17372.11	-19.2638	31.8721	0.247551	0.249042	0.249454	0.253954	0.04545757	0.0679626	0.191149	4.91775	1.3233	0.000259425	0.000729647	0.0187719	0.00505125	0.915716	0.0842835	0.168034	0.03120497	2.87287	1.25304	0	0.6608481	3.604426	1	1	1	1.241203	0.0842835	0.9157165	54.12195	0.003817168	3.604426	0.784686	0.933884	1.04822	1.23321
1000	-17390.13	-17371.42	-18.70721	47.59396	0.252477	0.247674	0.25149	0.248359	0.02759311	0.257242	0.424482	9.73312	1.80681	0.000497513	0.000820961	0.0188241	0.00349443	0.711655	0.288345	0.0485509	0.006921394	3.35686	1.19887	0	1.084736	3.645117	1	1	1	1.197544	0.2883451	0.7116549	29.11324	0.00193403	3.645117	0.822235	0.94713	1.04088	1.18976
1100	-17398.6	-17374.75	-23.84343	34.3874	0.243418	0.256248	0.249508	0.250826	0.3868505	0.267662	0.671824	7.45885	2.15544	0.000639547	0.00160524	0.017822	0.00515016	0.245382	0.754618	0.1402136	0.005317134	3.38267	0.800413	0	1.402845	3.607511	1	1	1	1.190394	0.7546177	0.2453823	23.78686	0.002389382	3.607511	0.792328	0.936644	1.04677	1.22426
1200	-17393.32	-17375.07	-18.24676	12.19033	0.255668	0.242591	0.246685	0.255056	0.2345476	0.147088	0.208872	3.79475	0.186085	0.000842646	0.0011966	0.0217396	0.00106605	0.411158	0.588842	0.0634181	0.02639361	3.29982	0.860363	0	1.507724	3.43986	1	1	1	1.423938	0.5888422	0.4111578	96.56863	0.005728848	3.43986	0.663007	0.885139	1.06823	1.38363
1300	-17389.49	-17375.86	-13.62439	9.147582	0.253282	0.24808	0.251056	0.247582	0.03926091	0.0655372	0.495002	4.77097	0.430825	0.000255831	0.00193229	0.018624	0.00168177	0.333137	0.666863	0.04211742	0.009531992	2.6523	0.543307	0	0.4807496	3.647541	1	1	1	1.259474	0.6668626	0.3331374	4.567004	0.003903607	3.647541	0.616504	0.863865	1.07411	1.44552
1400	-17393.34	-17377.22	-16.11585	10.41329	0.257184	0.242334	0.243475	0.257008	0.05741014	0.0519066	0.19112	2.40618	0.882752	0.000363047	0.00133674	0.0168294	0.00617417	0.040416	0.959584	0.05648789	0.01419433	3.10422	0.514235	0	1.619561	3.806505	1	1	1	1.148578	0.959584	0.04041596	25.22223	0.006994232	3.806505	0.638114	0.873951	1.07151	1.41642
1500	-17390.5	-17372.92	-17.58006	18.40485	0.245004	0.243898	0.254861	0.256236	0.09604526	0.274761	0.340162	3.90987	2.47908	0.000913986	0.00113154	0.0130061	0.00824661	0.279227	0.720773	0.07291924	0.01328723	2.72439	0.573612	0	1.057308	3.902699	1	1	1	1.281658	0.7207735	0.2792265	40.51696	0.003326482	3.902699	0.721209	0.909627	1.05943	1.30974
