Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-19843.53	-19835.57	-7.959187	25.36055	0.133442	0.0868528	0.444349	0.335356	0.2458975	1.56342	0.42469	2.49796	1.94728	0.0156342	0.0042469	0.0249796	0.0194728	0.052992	0.947008	0.15173	0.001	2.98783	0.956704	0	0.4450918	3	1	1	1	0.9518344	0.947008	0.05299196	0.01	0.01	3	0.760086	0.924771	1.05275	1.26239
100	-17385.56	-17378.63	-6.925715	8.318331	0.257857	0.246998	0.250854	0.244291	0.06115424	0.291593	0.13718	0.224826	1.67473	0.00351859	0.00165532	0.00271293	0.0202086	0.214157	0.785843	0.06674161	0.002454645	3.00914	1.01451	0	0.5704285	3.556878	1	1	1	1.561469	0.7858429	0.2141571	5.073536	0.01206681	3.556878	0.599996	0.855918	1.07592	1.46816
200	-17381.2	-17376.19	-5.015676	13.47518	0.243942	0.245364	0.256111	0.254584	0.08507039	0.536062	0.0959367	0.203052	1.25513	0.00622789	0.00111458	0.00235903	0.0145819	0.193303	0.806697	0.02961112	0.003943653	3.00273	1.01859	0	0.6991529	3.922094	1	1	1	1.303527	0.8066969	0.1933031	1.748089	0.01161785	3.922094	0.678064	0.891693	1.0661	1.36414
300	-17384.73	-17372.93	-11.79326	41.69463	0.248175	0.249891	0.254605	0.247329	0.0804139	0.37559	0.0627371	0.159552	1.73002	0.00460212	0.00076872	0.001955	0.021198	0.400385	0.599615	0.06805609	0.002419176	3.01274	0.997737	0	0.2926757	3.830282	1	1	1	1.347367	0.5996154	0.4003846	70.58689	0.01225304	3.830282	0.810586	0.943104	1.04321	1.2031
400	-17383.58	-17372.88	-10.70166	45.97461	0.25209	0.252462	0.246069	0.24938	0.0893896	0.698401	0.0373876	0.072054	0.707318	0.0118374	0.000633691	0.00122126	0.0119885	0.371867	0.628133	0.01589921	0.00773914	2.97482	1.01594	0	0.5325482	3.855563	1	1	1	1.351699	0.6281326	0.3718674	86.48899	0.01694923	3.855563	0.819255	0.946107	1.04148	1.19316
500	-17385.68	-17373.65	-12.03013	36.08384	0.250891	0.241491	0.252454	0.255165	0.07074449	0.877599	0.0390483	0.0708699	0.452071	0.0137793	0.000613103	0.00111274	0.00709803	0.223673	0.776327	0.07591078	0.02033941	3.02228	1.028	0	1.889746	3.889971	1	1	1	1.384632	0.7763271	0.2236729	24.25803	0.01570116	3.889971	0.79704	0.938329	1.04586	1.21877
600	-17390.7	-17375.8	-14.90574	49.05225	0.255213	0.245168	0.255942	0.243677	0.1837421	2.82696	0.104224	0.274159	3.4486	0.0117847	0.000434475	0.00114288	0.0143761	0.644522	0.355478	0.03392952	0.02515457	3.04694	1.0335	0	1.151697	3.485361	1	1	1	1.564679	0.3554778	0.6445222	92.84476	0.004168684	3.485361	0.824795	0.948004	1.04036	1.18684
700	-17384.43	-17372.77	-11.66274	43.91257	0.252024	0.250345	0.244641	0.252991	0.1102792	2.29973	0.132422	0.189462	1.84245	0.0127639	0.000734965	0.00105154	0.0102259	0.601249	0.398751	0.06556235	0.01961909	3.0231	0.968308	0	0.6035527	3.796773	1	1	1	1.452125	0.3987511	0.6012489	55.78061	0.00555015	3.796773	0.815232	0.944719	1.04228	1.19776
800	-17390.02	-17376.02	-13.99823	39.81366	0.248877	0.246509	0.256115	0.2485	0.2322083	2.8049	0.260772	0.261397	2.80353	0.00991998	0.000922265	0.000924474	0.00991516	0.512338	0.487662	0.03240399	0.01033748	2.99312	1.00763	0	0.9988917	3.929487	1	1	1	1.276604	0.4876618	0.5123382	90.67872	0.003536667	3.929487	0.806355	0.941624	1.04404	1.20798
900	-17388.87	-17375.7	-13.1721	46.34637	0.246568	0.252851	0.252804	0.247777	0.08186502	3.42082	0.154924	0.362341	1.73517	0.0142205	0.000644025	0.00150627	0.00721316	0.56131	0.43869	0.02286328	0.02870356	3.02019	1.04013	0	1.74561	3.953522	1	1	1	1.527608	0.4386905	0.5613095	53.44237	0.004157038	3.953522	0.819953	0.946347	1.04134	1.19236
1000	-17385.93	-17375.22	-10.70726	16.27153	0.247793	0.254143	0.245627	0.252437	0.03846586	3.47268	0.0986958	0.179415	0.396093	0.0200739	0.000570514	0.00103712	0.00228963	0.692025	0.307975	0.0652554	0.001513533	2.96815	1.0411	0	1.672466	3.277809	1	1	1	1.467276	0.3079753	0.6920247	12.35606	0.00578053	3.277809	0.704814	0.902957	1.06206	1.33017
1100	-17386.72	-17373.99	-12.72261	40.93322	0.24772	0.255764	0.245608	0.250908	0.0743794	6.44426	0.201229	0.354998	0.778176	0.0195054	0.000609079	0.0010745	0.00235538	0.816664	0.183336	0.06967822	0.01038124	3.00556	1.0469	0	0.3680398	3.717132	1	1	1	1.409655	0.1833356	0.8166644	41.67521	0.003026793	3.717132	0.808907	0.942518	1.04354	1.20503
1200	-17390.29	-17373.61	-16.68315	15.23639	0.255303	0.242085	0.247655	0.254957	0.03089109	7.79259	0.222481	0.390106	4.94543	0.0155063	0.000442712	0.000776265	0.00984084	0.805502	0.194498	0.04169712	0.0329038	3.00341	1.0066	0	0.5143176	3.721622	1	1	1	1.193143	0.1944979	0.8055021	98.27441	0.001989885	3.721622	0.695721	0.899181	1.06347	1.34163
1300	-17385	-17372.85	-12.14679	47.76963	0.252733	0.244119	0.247808	0.25534	0.0617087	9.20124	0.139049	0.424603	0.472462	0.0222381	0.000336061	0.00102621	0.00114187	0.665464	0.334536	0.007635182	0.005299724	2.97787	1.04001	0	0.6377933	3.189612	1	1	1	1.496797	0.334536	0.665464	66.73127	0.002416858	3.189612	0.82255	0.947237	1.04081	1.1894
1400	-17387.59	-17372.26	-15.32726	26.14963	0.250655	0.247601	0.250097	0.251647	0.3178613	5.55444	0.0919143	0.331491	0.349442	0.0182989	0.000302808	0.00109208	0.00115122	0.773292	0.226708	0.1442192	0.009466908	3.04925	1.01672	0	1.608974	3.994467	1	1	1	1.236969	0.2267077	0.7732923	11.37364	0.003294456	3.994467	0.763529	0.926068	1.05213	1.25827
