Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-20533.99	-20522.41	-11.58526	37.62985	0.0570326	0.298345	0.282887	0.361735	0.1971157	1.16642	0.388798	0.166858	11.8353	0.0116642	0.00388798	0.00166858	0.118353	0.847491	0.152509	0.03191862	0.001	2.94303	1.03942	0	0.8997891	3	1	1	1	0.8519234	0.1525086	0.8474914	0.01	0.01	3	0.801063	0.939758	1.04508	1.2141
100	-17389.1	-17373.09	-16.00806	35.00276	0.249416	0.25181	0.246148	0.252626	0.09165534	0.0966831	0.130098	0.827301	5.05765	0.000571684	0.000769266	0.0048918	0.0299057	0.784316	0.215684	0.05715323	0.002606672	2.6205	0.878278	0	1.35816	3.916347	1	1	1	1.278859	0.2156836	0.7843164	6.861941	0.005912966	3.916347	0.794075	0.93727	1.04643	1.22222
200	-17392.75	-17376.01	-16.73919	1.227532	0.247845	0.251456	0.245434	0.255265	0.1813793	0.0814652	0.12016	0.290338	3.44678	0.000858821	0.00126675	0.0030608	0.0363366	0.804582	0.195418	0.0605865	0.001073848	3.13397	0.602808	0	0.7683883	3.443823	1	1	1	1.226045	0.1954182	0.8045818	47.78525	0.01054218	3.443823	0.180007	0.535881	1.02942	2.25469
300	-17390.99	-17371.46	-19.52438	12.7371	0.253057	0.242663	0.252856	0.251425	0.08741333	0.139194	0.198368	0.710891	3.56878	0.00101127	0.00144119	0.00516478	0.025928	0.047645	0.952355	0.02161497	0.005134677	2.81973	0.61453	0	3.329535	3.204932	1	1	1	1.301802	0.952355	0.047645	35.23284	0.007265222	3.204932	0.669673	0.88806	1.0673	1.37497
400	-17389.34	-17372.53	-16.80599	11.0958	0.256941	0.243907	0.250786	0.248365	0.08101804	0.129482	0.154088	0.389397	4.99333	0.000670928	0.000798427	0.00201771	0.0258736	0.492814	0.507186	0.01885889	0.004922744	2.67467	0.590538	0	2.289829	3.825889	1	1	1	1.345097	0.5071862	0.4928138	7.754859	0.005181628	3.825889	0.648325	0.878594	1.0702	1.40288
500	-17391.97	-17374.07	-17.90172	23.19954	0.247688	0.244278	0.250227	0.257807	0.1351315	0.104328	0.247856	0.222668	5.78576	0.00050969	0.00121089	0.00108784	0.0282661	0.00163195	0.998368	0.03998183	0.01659403	3.31309	1.34671	0	1.028189	3.861136	1	1	1	1.166753	0.9983681	0.001631947	97.71121	0.004885466	3.861136	0.749815	0.92086	1.05457	1.27475
600	-17394.98	-17376.3	-18.68105	43.9669	0.256018	0.247885	0.25549	0.240606	0.03205456	0.0868186	0.212262	0.626705	5.45337	0.00039454	0.000964608	0.00284801	0.0247824	0.0894872	0.910513	0.1659005	0.02919309	3.28005	0.937119	0	0.8478441	3.952362	1	1	1	1.476521	0.9105128	0.08948725	47.59439	0.004544421	3.952362	0.815341	0.944756	1.04226	1.19764
700	-17389.92	-17374.24	-15.6787	32.13935	0.247497	0.24635	0.25713	0.249022	0.0566637	0.174599	0.172638	0.761247	3.40707	0.00107456	0.00106249	0.00468505	0.0209686	0.580553	0.419447	0.01976992	0.0137769	2.89158	0.388268	0	1.099798	3.775834	1	1	1	1.438255	0.4194468	0.5805532	10.51214	0.006154444	3.775834	0.785539	0.934194	1.04806	1.23221
800	-17392.75	-17373.79	-18.96331	34.41626	0.255016	0.253132	0.250305	0.241547	0.1054609	0.114984	0.190984	1.80784	4.30508	0.000628327	0.00104363	0.0098789	0.023525	0.996975	0.00302541	0.1518166	0.000344162	3.00255	0.947421	0	1.321093	3.168349	1	1	1	1.213042	0.003025411	0.9969746	50.29067	0.005464474	3.168349	0.792411	0.936674	1.04675	1.22417
900	-17392.47	-17374.67	-17.80526	22.53504	0.247928	0.24189	0.248646	0.261536	0.01638505	0.069454	0.0957593	2.01179	1.90539	0.000451408	0.000622376	0.0130754	0.0123839	0.865413	0.134587	0.04106576	0.01939688	3.2387	0.897086	0	0.3586925	3.914161	1	1	1	1.257976	0.1345875	0.8654125	92.85643	0.00649938	3.914161	0.746377	0.919536	1.05517	1.27891
1000	-17393.37	-17373.26	-20.10937	1.498973	0.249676	0.246786	0.251877	0.25166	0.4082584	0.0326185	0.186352	3.36905	0.70064	0.000218513	0.00124838	0.0225694	0.00469362	0.687236	0.312764	0.05938831	0.002690636	2.89752	0.733475	0	1.076445	3.186998	1	1	1	1.368511	0.3127636	0.6872364	24.51739	0.006699047	3.186998	0.225164	0.588385	1.05036	2.13609
1100	-17388.08	-17373	-15.07743	37.96324	0.252303	0.248348	0.247528	0.251821	0.09127817	0.14483	0.134386	3.74142	0.51518	0.000715796	0.000664176	0.0184912	0.00254618	0.534216	0.465784	0.03194801	0.01698162	2.66991	0.786434	0	0.429833	3.858082	1	1	1	1.216981	0.4657843	0.5342157	53.47263	0.0049423	3.858082	0.8019	0.940054	1.04492	1.21313
1200	-17389.02	-17371.03	-17.98766	44.39995	0.252904	0.247437	0.249502	0.250158	0.1523636	0.0918813	0.200717	3.40051	3.30895	0.000330629	0.00072227	0.0122365	0.011907	0.921861	0.0781395	0.01947761	0.02188732	3.13781	1.03456	0	0.8319034	3.807026	1	1	1	1.31071	0.07813949	0.9218605	70.76801	0.003598439	3.807026	0.816207	0.945056	1.04209	1.19665
1300	-17394.52	-17375.94	-18.57969	35.32388	0.246028	0.256952	0.251305	0.245714	0.0343184	0.131293	0.17153	2.84287	3.99326	0.000640511	0.000836811	0.013869	0.0194811	0.990276	0.00972445	0.08251663	0.007765615	2.95021	0.888177	0	0.385558	3.184534	1	1	1	1.099109	0.009724447	0.9902756	74.87936	0.004878499	3.184534	0.79497	0.93759	1.04626	1.22118
1400	-17385.82	-17371.88	-13.9307	0.6510031	0.251585	0.247082	0.252631	0.248703	0.1948307	0.0736436	0.137818	2.70374	0.36644	0.00059079	0.00110562	0.0216902	0.00293968	0.587201	0.412799	0.001026575	0.0002268554	2.63376	0.907538	0	0.8917151	3.41122	1	1	1	1.303082	0.4127991	0.5872009	14.06535	0.008022291	3.41122	0.0637696	0.339465	0.905265	2.6915
1500	-17388.89	-17373.6	-15.28849	44.53824	0.252049	0.246806	0.247495	0.25365	0.209903	0.0748983	0.0528139	1.28762	0.285204	0.0010901	0.000768672	0.0187404	0.00415096	0.649528	0.350472	0.004151308	0.006558515	2.99387	1.01935	0	0.6282157	3.528435	1	1	1	1.350111	0.3504715	0.6495285	95.92716	0.01455435	3.528435	0.816481	0.945151	1.04203	1.19633
1600	-17391.71	-17373.74	-17.96499	29.10982	0.252917	0.249217	0.251251	0.246615	0.1531342	0.0510464	0.0673161	1.27214	0.310859	0.000793681	0.00104665	0.0197794	0.0048333	0.735191	0.264809	0.1256123	0.009964671	2.87771	1.45749	0	0.9401921	3.271728	1	1	1	1.381517	0.2648085	0.7351915	75.13953	0.01554822	3.271728	0.775222	0.93042	1.04999	1.24437
1700	-17388.41	-17373.33	-15.08077	46.29975	0.247202	0.245729	0.251291	0.255778	0.1352197	0.0562999	0.0993592	1.14836	0.188855	0.00105624	0.00186408	0.0215444	0.00354311	0.944001	0.0559988	0.04562381	0.007859783	2.87923	0.601479	0	1.140723	3.193639	1	1	1	1.18378	0.05599878	0.9440012	60.94059	0.01876101	3.193639	0.819866	0.946317	1.04136	1.19246
1800	-17387.5	-17371.41	-16.09296	28.64558	0.250372	0.24882	0.251181	0.249627	0.07584724	0.0463622	0.102065	0.984058	0.316541	0.000753893	0.00165968	0.0160017	0.00514725	0.599468	0.400532	0.09219519	0.005824926	3.02003	0.730024	0	1.733268	3.532478	1	1	1	1.30021	0.4005317	0.5994683	52.25016	0.01626094	3.532478	0.773504	0.929786	1.05031	1.2464
1900	-17392.92	-17377.1	-15.81676	30.41054	0.244058	0.23845	0.255348	0.262144	0.2142766	0.0735099	0.101961	2.22778	0.352913	0.000703097	0.000975222	0.0213079	0.0033755	0.32473	0.67527	0.0239743	0.01201022	2.91162	0.613834	0	0.9990734	3.236008	1	1	1	1.361927	0.6752695	0.3247305	46.08748	0.009564663	3.236008	0.779833	0.932114	1.04913	1.23892
2000	-17387.73	-17372.33	-15.40505	42.97595	0.245495	0.25042	0.248857	0.255227	0.1271951	0.034698	0.117916	2.35473	0.696568	0.000257085	0.000873671	0.0174467	0.00516104	0.228529	0.771471	0.01254363	0.005388549	2.89627	0.813381	0	0.8479333	3.588024	1	1	1	1.255341	0.7714711	0.2285289	54.99545	0.007409232	3.588024	0.813312	0.944053	1.04267	1.19997
