Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-23221.19	-23206.3	-14.88461	5.064631	0.329736	0.0598513	0.0506577	0.559755	0.491411	2.94372	1.19542	0.755828	0.0913697	0.0294372	0.0119542	0.00755828	0.000913697	0.266076	0.733924	0.1065211	1.77065	1.94869	0	0.9319375	3	1	1	1	0.9147029	0.733924	0.266076	0.01	3	0.50474	0.805492	1.08319	1.60658
100	-17382.35	-17374.65	-7.696114	39.88517	0.255818	0.249384	0.249589	0.245209	0.1236898	0.403734	1.40812	0.724078	0.595174	0.00761588	0.0265623	0.0136587	0.0112271	0.260787	0.739213	0.002061464	2.89769	0.331331	0	1.323071	3.023642	1	1	1	1.342967	0.7392128	0.2607872	0.01886363	3.023642	0.806521	0.941682	1.04401	1.20779
200	-17379.35	-17373.77	-5.57997	23.89745	0.251028	0.247057	0.249469	0.252446	0.06076822	0.17083	0.392652	0.319576	0.526149	0.00397099	0.00912731	0.00742863	0.0122305	0.647235	0.352765	0.003889545	1.92934	2.283	0	1.451241	3.770374	1	1	1	1.349211	0.3527648	0.6472352	0.02324529	3.770374	0.753277	0.922185	1.05396	1.27058
300	-17380.63	-17374.82	-5.808576	5.679866	0.25568	0.249067	0.245778	0.249474	0.1441301	0.210186	0.335446	0.15577	0.537382	0.00680315	0.0108574	0.00504183	0.0173936	0.566385	0.433615	0.01194523	2.52951	2.44062	0	1.152555	3.446579	1	1	1	1.309472	0.433615	0.566385	0.0323672	3.446579	0.528079	0.81862	1.08196	1.57134
400	-17383.78	-17376.32	-7.457529	47.67391	0.252904	0.246335	0.250794	0.249967	0.07290004	0.531305	0.730858	0.148001	0.980054	0.0110808	0.0152426	0.00308669	0.0204398	0.18434	0.81566	0.08376687	1.8769	0.804882	0	0.405339	3.339414	1	1	1	1.113612	0.8156603	0.1843397	0.02085581	3.339414	0.822379	0.947179	1.04085	1.18959
500	-17387.28	-17377.66	-9.617938	40.47275	0.240917	0.259385	0.24835	0.251348	0.09865783	0.345078	0.772717	0.356843	1.38057	0.0048885	0.0109466	0.00505516	0.0195576	0.141427	0.858573	0.2298498	2.24094	2.28321	0	0.4926792	3.202387	1	1	1	1.313584	0.8585727	0.1414273	0.01416635	3.202387	0.80787	0.942155	1.04375	1.20623
600	-17388.27	-17380.31	-7.956414	33.88978	0.245971	0.241672	0.260076	0.252281	0.128932	0.617025	0.514798	1.03481	0.706529	0.00750793	0.00626403	0.0125915	0.00859701	0.862349	0.137651	0.08789537	2.67201	1.79209	0	0.4025584	3.641068	1	1	1	1.221818	0.1376509	0.8623491	0.01216795	3.641068	0.790881	0.936124	1.04704	1.22595
700	-17383.02	-17376.06	-6.960448	9.928738	0.246682	0.250152	0.253451	0.249715	0.1980099	0.472093	0.420191	0.623264	0.410444	0.00903945	0.00804565	0.011934	0.00785901	0.495175	0.504825	0.04570392	3.13522	0.317783	0	1.056028	3.656738	1	1	1	1.356611	0.5048245	0.4951755	0.0191476	3.656738	0.630289	0.870339	1.07248	1.42689
800	-17384.02	-17377.77	-6.241369	32.18543	0.249043	0.251703	0.24888	0.250373	0.1719857	0.117834	0.521273	0.863574	0.31027	0.00191474	0.00847037	0.0140326	0.0050417	0.214825	0.785175	0.0158778	3.40251	2.37351	0	0.7036907	3.820554	1	1	1	1.424489	0.7851745	0.2148255	0.01624941	3.820554	0.785685	0.934247	1.04803	1.23204
900	-17385.92	-17375.37	-10.54913	3.123606	0.252837	0.249253	0.249874	0.248035	0.3592832	0.466687	0.471163	1.51466	0.80285	0.00516332	0.00521284	0.0167578	0.00888256	0.2643	0.7357	0.03289849	0.333343	0.373039	0	1.430115	3.088087	1	1	1	1.206957	0.7356999	0.2643001	0.01106378	3.088087	0.398604	0.73815	1.08306	1.78018
1000	-17385.43	-17374.69	-10.73798	41.4241	0.252819	0.244991	0.250649	0.251541	0.2443016	0.109755	0.200672	1.36916	1.4742	0.00117163	0.00214216	0.0146156	0.015737	0.182425	0.817575	0.06898116	0.993425	2.74349	0	1.643704	3.008449	1	1	1	1.349219	0.8175753	0.1824247	0.01067493	3.008449	0.809995	0.942898	1.04333	1.20378
1100	-17384.15	-17377.26	-6.885008	35.28368	0.249759	0.247988	0.246943	0.25531	0.1521106	0.128708	0.343521	1.04571	0.694904	0.00149482	0.00398965	0.0121449	0.00807062	0.621105	0.378895	0.05984139	1.13576	0.912521	0	0.8680506	3.62443	1	1	1	1.371125	0.378895	0.621105	0.01161401	3.62443	0.794858	0.937551	1.04628	1.22131
1200	-17389.52	-17378.46	-11.05379	23.10979	0.244495	0.249843	0.251911	0.253751	0.1932199	0.0217301	0.237902	1.1154	1.32444	0.000241509	0.00264405	0.0123965	0.0147198	0.38827	0.61173	0.1059563	1.80072	1.93264	0	0.6543303	3.230511	1	1	1	1.214655	0.6117305	0.3882695	0.01111401	3.230511	0.749359	0.920684	1.05465	1.2753
1300	-17383.42	-17374.51	-8.903203	30.70601	0.252875	0.24225	0.249427	0.255448	0.0422509	0.233573	0.555164	0.260197	1.19836	0.00357394	0.00849466	0.00398131	0.0183363	0.410035	0.589965	0.207452	1.35419	2.65089	0	1.07504	3.463592	1	1	1	1.272887	0.5899651	0.4100349	0.01530116	3.463592	0.780841	0.932483	1.04894	1.23773
