Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-22889.43	-22885.74	-3.686699	20.06339	0.0239405	0.167224	0.26381	0.545025	0.07064349	0.3789	0.377249	0.383608	0.287483	0.003789	0.00377249	0.00383608	0.00287483	0.621473	0.378527	0.06569463	0.285932	1.22846	0	0.7512515	3	1	1	1	0.5373602	0.378527	0.621473	0.01	3	0.732199	0.914003	1.0576	1.2962
100	-17453.28	-17445.91	-7.363344	4.758361	0.255519	0.239078	0.253621	0.251783	0.02792741	0.479851	0.584683	1.03237	0.390834	0.00632522	0.00770708	0.0136083	0.00515183	0.118012	0.881988	0.04581717	3.18906	1.68501	0	0.6501059	3.143165	0	1	1	2.132927	0.8819884	0.1180116	0.01318164	3.143165	0.491721	0.79793	1.0837	1.62665
200	-17457.82	-17451.46	-6.361973	33.12154	0.265317	0.240636	0.25319	0.240856	0.1000885	0.429996	0.514195	0.337377	0.477907	0.00827655	0.00989722	0.00649383	0.00919875	0.11312	0.88688	0.02144815	2.63262	0.290335	0	0.5866524	3.759017	1	1	1	2.190347	0.8868796	0.1131204	0.01924798	3.759017	0.788587	0.935297	1.04748	1.22864
300	-17456.97	-17447.03	-9.939204	31.36315	0.255406	0.248282	0.24732	0.248992	0.2971812	0.586846	0.481009	0.82582	0.802818	0.00724678	0.00593983	0.0101978	0.00991375	0.11818	0.88182	0.04064038	1.64792	2.90888	0	1.067959	3.015674	1	1	1	2.096461	0.8818197	0.1181803	0.01234869	3.015674	0.783033	0.933283	1.04853	1.23515
400	-17454.83	-17445.55	-9.287391	45.85169	0.249656	0.246958	0.248506	0.25488	0.09364392	0.244007	0.344293	2.3472	0.605364	0.00186162	0.00262674	0.0179076	0.00461854	0.129854	0.870146	0.07471635	0.84198	3.19559	0	0.487259	3.567613	1	1	1	2.283042	0.8701462	0.1298538	0.007629359	3.567613	0.819023	0.946027	1.04153	1.19342
500	-17450.64	-17444	-6.635005	49.86133	0.249128	0.254639	0.250502	0.245732	0.07981113	0.286567	0.310119	1.408	0.305692	0.00296714	0.003211	0.0145786	0.00316517	0.38045	0.61955	0.01709667	0.271961	3.48629	0	0.9307796	3.505972	1	1	1	2.156702	0.6195501	0.3804499	0.0103541	3.505972	0.826168	0.948472	1.04008	1.18528
600	-17455.85	-17447.11	-8.745481	28.98083	0.240555	0.251647	0.252391	0.255407	0.03507034	0.156935	0.239469	1.74046	0.487729	0.00158913	0.00242487	0.017624	0.00493875	0.472388	0.527612	0.086818	2.36185	0.453927	0	1.206473	3.585392	1	1	1	1.95683	0.5276125	0.4723875	0.01012601	3.585392	0.774749	0.930245	1.05008	1.24493
700	-17455.97	-17447.45	-8.515405	28.4351	0.253907	0.254763	0.249378	0.241953	0.1204127	0.117891	0.439403	2.22085	0.723889	0.0009086	0.00338652	0.0171163	0.00557908	0.910809	0.0891911	0.009601544	2.4602	0.224015	0	0.9885205	3.826203	1	1	1	2.011701	0.08919108	0.9108089	0.007707091	3.826203	0.772712	0.929492	1.05045	1.24734
800	-17451.48	-17444.97	-6.513043	43.37894	0.248127	0.246921	0.252736	0.252217	0.03001131	0.190421	0.319822	2.19615	0.331862	0.00153956	0.00258578	0.017756	0.00268313	0.401428	0.598572	0.003078788	0.786702	0.114511	0	0.7431613	3.849951	1	1	1	1.864299	0.5985724	0.4014276	0.008085064	3.849951	0.814146	0.944342	1.0425	1.19901
900	-17452.57	-17444.35	-8.21642	48.14062	0.250434	0.25043	0.247819	0.251317	0.0691551	0.45897	0.388215	2.29441	0.204555	0.0030116	0.00254733	0.0150551	0.00134221	0.0356929	0.964307	0.05234814	1.33882	3.11827	0	0.3864669	3.577224	1	1	1	1.924367	0.9643071	0.03569293	0.00656164	3.577224	0.823208	0.947462	1.04068	1.18865
