Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5
0	1	3	1	4	3	4	3	1	3	3
100	3	3	2	4	3	4	3	6	3	3
200	3	3	2	4	3	4	3	6	3	3
300	3	3	2	4	3	4	3	6	3	3
400	3	3	3	4	3	4	3	3	3	3
500	3	3	3	4	3	4	3	3	3	3
600	3	3	3	4	3	4	3	3	3	3
700	3	3	7	4	1	4	3	7	3	3
800	3	3	5	4	3	4	3	5	3	3
900	3	3	1	4	3	4	3	5	3	3
1000	6	3	2	4	3	4	3	6	3	3
1100	3	3	3	4	3	4	3	3	3	3
1200	3	3	3	4	3	4	3	3	3	3
1300	3	3	3	4	3	4	3	3	3	3
1400	1	3	1	4	3	4	3	1	3	3
1500	3	3	3	4	3	4	3	3	3	3
1600	3	3	3	4	3	4	3	3	3	3
1700	3	3	5	4	3	4	3	5	3	3
1800	3	3	3	4	3	4	3	3	3	3
1900	3	3	3	4	3	4	3	3	3	3
2000	5	3	1	4	3	4	3	5	3	3
2100	1	3	1	4	3	4	3	1	3	3
2200	3	3	5	4	3	4	3	5	3	3
2300	3	3	3	4	3	4	3	3	3	3
2400	3	3	6	4	3	4	3	6	3	3
2500	3	3	1	4	3	4	3	5	3	3
2600	3	3	3	4	3	4	3	3	3	3
2700	3	3	3	4	3	4	3	3	3	3
2800	3	3	3	4	3	4	3	3	3	3
2900	3	3	3	4	3	4	3	3	3	3
3000	3	3	3	4	3	4	3	3	3	3
3100	3	3	3	4	3	4	3	3	3	3
3200	1	3	1	4	3	4	3	1	3	3
3300	3	3	1	4	3	4	3	5	3	3
3400	3	3	3	4	3	4	3	3	3	3
3500	3	3	3	4	3	4	3	3	3	3
3600	3	3	3	4	3	4	3	3	3	3
3700	3	3	2	4	3	4	3	6	3	3
3800	3	3	1	4	3	4	3	5	3	3
3900	3	3	1	4	3	4	3	5	3	3
4000	3	3	1	4	3	4	3	5	3	3
4100	3	3	3	4	3	4	3	3	3	3
4200	3	3	3	4	3	4	3	3	3	3
4300	3	3	3	4	3	4	3	3	3	3
4400	3	3	3	4	3	4	3	3	3	3
4500	3	3	2	4	3	4	3	6	3	3
4600	3	3	4	4	3	4	3	7	3	3
4700	3	3	3	4	3	4	3	3	3	3
4800	3	3	2	4	3	4	3	6	3	3
4900	4	3	2	4	3	4	3	4	3	3
5000	3	3	1	4	3	4	3	5	3	3
5100	2	3	2	4	3	4	3	2	3	3
5200	3	3	1	4	3	4	3	5	3	3
5300	3	3	3	4	3	4	3	3	3	3
5400	3	3	3	4	3	4	3	3	3	3
5500	3	3	7	4	3	4	3	7	3	3
5600	3	3	2	4	3	4	3	6	3	3
5700	3	3	3	4	3	4	3	3	3	3
5800	3	3	3	4	3	4	3	3	3	3
5900	5	3	1	4	3	4	3	5	3	3
