Iteration	1	2	3	4	5	simmap
0	{3,0.8}	{4,0.288998:1,0.0598027:5,0.319458:3,0.131742}	{4,0.55554:2,0.430782:6,0.656225:3,1.35745}	{3,2.2}	{3,0}	(n1:{4,0.55554:2,0.430782:6,0.656225:3,1.35745},(n0:{4,0.288998:1,0.0598027:5,0.319458:3,0.131742},n2:{3,0.8}):{3,2.2});
100	{3,1.04006}	{4,0.953491:2,0.0865684}	{4,0.0915919:1,0.458257:5,0.88321:3,1.71011}	{6,0.244382:7,0.0637118:6,1.72703:3,0.0679813}	{3,0}	((n2:{3,1.04006},n0:{4,0.953491:2,0.0865684}):{6,0.244382:7,0.0637118:6,1.72703:3,0.0679813},n1:{4,0.0915919:1,0.458257:5,0.88321:3,1.71011});
200	{3,0.74201}	{4,0.74201}	{4,0.412445:1,1.97181:4,0.0323851:1,0.463019:4,0.0488642:7,0.404856:5,0.305229:3,0.12041}	{7,2.01846:5,0.069206:3,0.180259:6,0.481881:3,0.267202}	{3,0}	((n0:{4,0.74201},n2:{3,0.74201}):{7,2.01846:5,0.069206:3,0.180259:6,0.481881:3,0.267202},n1:{4,0.412445:1,1.97181:4,0.0323851:1,0.463019:4,0.0488642:7,0.404856:5,0.305229:3,0.12041});
300	{3,1.00358}	{4,0.115346:2,0.0346782:6,0.148173:2,0.705388}	{4,0.616711:7,0.0284437:6,0.312356:3,2.05816}	{6,0.372003:3,1.64009}	{3,0}	((n2:{3,1.00358},n0:{4,0.115346:2,0.0346782:6,0.148173:2,0.705388}):{6,0.372003:3,1.64009},n1:{4,0.616711:7,0.0284437:6,0.312356:3,2.05816});
400	{3,2.31086:6,0.210531:3,1.04622}	{4,0.166998:7,0.231266:5,1.31215:3,0.0469954:5,0.623298:3,0.667965}	{4,0.774326:7,0.023872:5,0.207298:7,0.195317:5,0.0134584:3,1.8344}	{3,0.518941}	{3,0}	((n0:{4,0.166998:7,0.231266:5,1.31215:3,0.0469954:5,0.623298:3,0.667965},n1:{4,0.774326:7,0.023872:5,0.207298:7,0.195317:5,0.0134584:3,1.8344}):{3,0.518941},n2:{3,2.31086:6,0.210531:3,1.04622});
500	{3,1.18602:6,0.15619:3,1.20932}	{4,0.969263:2,1.58227}	{4,0.312312:2,0.79415:4,1.22944:2,0.760342:6,0.25537:3,0.154355}	{6,0.013543:3,0.704367:5,0.10523:3,0.131297}	{3,0}	((n0:{4,0.969263:2,1.58227},n2:{3,1.18602:6,0.15619:3,1.20932}):{6,0.013543:3,0.704367:5,0.10523:3,0.131297},n1:{4,0.312312:2,0.79415:4,1.22944:2,0.760342:6,0.25537:3,0.154355});
600	{3,1.41032:5,0.122598:7,0.712047:6,0.694369:3,0.646061}	{4,0.651109:1,0.294447:5,0.720698:7,0.430342:6,0.114152:3,0.857614}	{4,1.60484:1,0.410308:5,0.0691522:3,0.984058}	{3,0.51703}	{3,0}	((n0:{4,0.651109:1,0.294447:5,0.720698:7,0.430342:6,0.114152:3,0.857614},n1:{4,1.60484:1,0.410308:5,0.0691522:3,0.984058}):{3,0.51703},n2:{3,1.41032:5,0.122598:7,0.712047:6,0.694369:3,0.646061});
700	{3,0.0977833:5,0.0455972:3,1.10849:5,0.42085:7,0.102589:5,0.615581:7,0.280288:4,0.425291:2,0.340353:6,0.222296:3,0.167083}	{4,2.18076:2,0.120402:6,0.100161:3,0.627911}	{4,0.0478323:2,0.0340474:6,0.457824:3,0.387721:6,0.517861:7,0.16174:5,1.22079:7,0.032717:5,0.0465569:3,0.122141}	{3,0.796974}	{3,0}	((n1:{4,0.0478323:2,0.0340474:6,0.457824:3,0.387721:6,0.517861:7,0.16174:5,1.22079:7,0.032717:5,0.0465569:3,0.122141},n0:{4,2.18076:2,0.120402:6,0.100161:3,0.627911}):{3,0.796974},n2:{3,0.0977833:5,0.0455972:3,1.10849:5,0.42085:7,0.102589:5,0.615581:7,0.280288:4,0.425291:2,0.340353:6,0.222296:3,0.167083});
800	{3,1.75402:6,0.767477:3,0.533641:6,0.772736:3,0.0220732}	{4,0.0859753:7,2.23866:6,0.331322:3,0.20033}	{4,2.08263:7,0.323898:5,0.13625:3,0.313502}	{3,0.993666}	{3,0}	((n0:{4,0.0859753:7,2.23866:6,0.331322:3,0.20033},n1:{4,2.08263:7,0.323898:5,0.13625:3,0.313502}):{3,0.993666},n2:{3,1.75402:6,0.767477:3,0.533641:6,0.772736:3,0.0220732});
900	{3,2.84487}	{4,1.65201:1,1.19286}	{4,0.607913:7,0.0288113:5,0.868532:3,2.07197}	{5,0.317696:3,0.41466}	{3,0}	((n0:{4,1.65201:1,1.19286},n2:{3,2.84487}):{5,0.317696:3,0.41466},n1:{4,0.607913:7,0.0288113:5,0.868532:3,2.07197});
