Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rate_multiplier[5]	branch_rate_multiplier[6]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	ingroup_older_island[4]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-34901.51	-34886.58	-14.93293	25.51972	0.0201056	0.112761	0.148982	0.718151	0.2041268	0.376711	2.54041	0.314769	0.340056	0.794804	0.983279	0.00376711	0.0254041	0.00314769	0.00340056	0.00794804	0.00983279	0.630834	0.369166	0.01941686	0.001	9.93354	8.00444	1.98759	0	0.7996978	6	0	0	1	1	2.720201	0.3691662	0.6308338	0.01	0.01	10	0.760793	0.925037	1.05262	1.26155
100	-25839.22	-25818.55	-20.6737	23.00383	0.244849	0.255071	0.25007	0.25001	0.08668933	0.985872	1.05611	0.911453	0.292239	0.948283	1.82793	0.0115907	0.0124164	0.0107157	0.00343579	0.0111487	0.0214905	0.660533	0.339467	0.003811299	0.008117475	10.0699	8.03316	1.97531	0	0.8568384	5.580014	0	0	1	1	2.234594	0.3394668	0.6605332	20.15689	0.01175675	10.42584	0.748817	0.920476	1.05475	1.27596
200	-25843.97	-25818.84	-25.12344	29.86266	0.247048	0.252612	0.251968	0.248372	0.05821152	0.789333	0.749964	0.844395	0.482186	0.896949	1.19007	0.0102166	0.009707	0.0109293	0.00624107	0.0116095	0.0154034	0.0115379	0.988462	0.1249174	0.00348378	9.8336	7.75597	2.04827	0	0.7427136	5.580958	0	0	1	1	2.058539	0.9884621	0.01153787	6.344714	0.01294329	9.980486	0.777926	0.931415	1.04949	1.24117
300	-25836.51	-25815.48	-21.03613	41.00982	0.244911	0.252131	0.249854	0.253105	0.0963014	0.485359	0.600923	0.677728	0.507317	0.767345	0.913687	0.00741983	0.00918648	0.0103606	0.00775551	0.0117306	0.0139678	0.147492	0.852508	0.01792183	0.002637877	10.0179	8.07774	2.18768	0	1.001203	5.796984	0	0	1	1	2.051764	0.8525082	0.1474918	55.60698	0.01528729	10.30602	0.809078	0.942578	1.04351	1.20484
400	-25842.24	-25817.91	-24.33418	46.904	0.246494	0.255081	0.251724	0.246701	0.1694231	0.65052	0.798565	1.12674	0.761481	1.43108	1.87156	0.00695002	0.00853171	0.0120378	0.00813551	0.0152894	0.0199954	0.302806	0.697194	0.02750674	0.01020904	9.99882	7.86581	2.05048	0	0.6019101	5.163638	0	0	1	1	2.108004	0.697194	0.302806	50.82532	0.0106838	8.454452	0.820984	0.946701	1.04113	1.19119
500	-25845.83	-25820.06	-25.76641	45.48078	0.248464	0.247108	0.256286	0.248141	0.05748593	0.595373	0.609284	0.862815	1.05585	0.920899	2.29609	0.00589341	0.00603111	0.00854074	0.0104515	0.00911569	0.0227283	0.199234	0.800766	0.02489247	0.01517687	10.1691	7.81134	2.02877	0	0.3450612	7.574659	0	0	1	1	1.978632	0.8007663	0.1992337	69.74476	0.00989869	9.200326	0.818316	0.945784	1.04167	1.19423
600	-25845.34	-25825.5	-19.84315	23.76062	0.240228	0.255431	0.247769	0.256572	0.02691662	0.51529	0.635551	0.675135	0.973109	0.563671	1.17154	0.00658616	0.00812327	0.00862922	0.0124378	0.00720453	0.014974	0.605095	0.394905	0.0343206	0.01833427	9.92243	7.98091	2.09378	0	1.02274	8.144176	0	1	1	1	1.901527	0.3949045	0.6050955	18.13478	0.01278146	9.634261	0.752609	0.92193	1.05408	1.27138
700	-25842.7	-25823.31	-19.3875	38.99468	0.251982	0.25169	0.247444	0.248884	0.05228512	0.617367	0.590296	0.653239	1.05404	0.513484	1.1031	0.00773098	0.00739198	0.00818019	0.0131992	0.00643011	0.0138136	0.586774	0.413226	0.03962163	0.01058811	9.94161	7.99437	2.0236	0	1.392325	8.371854	0	1	1	1	2.193911	0.413226	0.586774	9.844741	0.0125225	9.236282	0.804421	0.940944	1.04442	1.21021
800	-25842.06	-25819.29	-22.76452	49.04067	0.252366	0.250146	0.243074	0.254414	0.07182228	0.403277	0.400209	0.623777	1.13634	0.760235	1.24638	0.0054326	0.00539127	0.00840299	0.0153078	0.0102412	0.0167902	0.8392	0.1608	0.05685609	0.01412108	10.0844	7.85299	2.07761	0	0.8932316	7.610282	0	0	1	1	2.097554	0.1608	0.8392	99.38283	0.01347113	8.342283	0.824775	0.947997	1.04036	1.18686
900	-25838.03	-25816.6	-21.42961	30.64434	0.249675	0.248353	0.247955	0.254018	0.04210459	0.548358	0.590531	0.698909	1.18492	0.799636	1.4919	0.00530083	0.00570851	0.00675616	0.0114543	0.00772987	0.0144218	0.755426	0.244574	0.01445126	0.009411272	9.9977	7.8528	1.94723	0	0.9301521	8.752486	0	1	1	1	2.109518	0.2445741	0.7554259	50.53566	0.009666728	10.25532	0.780632	0.932407	1.04898	1.23798
