Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-20597.34	-20590.85	-6.490992	24.97287	0.11637	0.340946	0.45823	0.0844548	0.1559022	0.0450175	0.325618	0.767149	0.152053	0.000450175	0.00325618	0.00767149	0.00152053	0.847639	0.152361	0.02393043	0.001	2.60679	0.58077	0	0.622074	3	1	1	1	1.175614	0.1523615	0.8476385	0.01	0.01	3	0.758337	0.924109	1.05306	1.26449
100	-17021.66	-17010.05	-11.61545	3.470894	0.251824	0.24373	0.251783	0.252663	0.05346978	0.522123	0.438158	0.242332	0.269665	0.0111004	0.0093153	0.005152	0.00573312	0.219555	0.780445	0.06605446	0.001501823	3.21797	0.532865	0	0.4371686	3.839827	1	1	1	1.185976	0.7804455	0.2195545	2.304399	0.02126012	3.839827	0.422701	0.754664	1.08403	1.73861
200	-17024.68	-17011.87	-12.81393	5.806035	0.25516	0.250901	0.250487	0.243453	0.02962437	0.722561	0.404621	0.293305	0.368834	0.0141283	0.00791157	0.005735	0.00721182	0.11182	0.88818	0.09054573	0.0007222901	2.79963	1.05536	0	0.3072353	3.135236	1	1	1	1.054666	0.8881804	0.1118196	1.604599	0.01955302	3.135236	0.532462	0.821026	1.08169	1.56482
300	-17023.61	-17007.6	-16.00855	40.41988	0.254764	0.24493	0.253166	0.24714	0.1388518	0.788375	0.436368	0.361085	0.124101	0.0137286	0.00759882	0.00628785	0.00216107	0.438905	0.561095	0.1103797	0.0005142747	3.2458	0.617834	0	0.2231498	3.996325	1	1	1	1.151152	0.5610947	0.4389053	4.464329	0.0174138	3.996325	0.80775	0.942113	1.04377	1.20637
400	-17019.52	-17006.14	-13.38216	14.8719	0.255315	0.252428	0.248072	0.244185	0.1154037	1.44349	0.0730794	0.0783587	0.6314	0.013742	0.000695712	0.00074597	0.00601089	0.353369	0.646631	0.008140894	0.002927414	2.68592	0.763689	0	1.033196	3.681139	1	1	1	1.157264	0.646631	0.353369	3.420429	0.009519938	3.681139	0.692309	0.897751	1.06399	1.34595
500	-17024.45	-17005.54	-18.90919	18.83129	0.255993	0.252897	0.246209	0.244901	0.07351205	2.56412	0.0396158	0.0529897	0.828122	0.0166844	0.000257776	0.000344798	0.0053885	0.457671	0.542329	0.08463463	0.001702911	2.82314	0.755968	0	0.5253242	3.397368	1	1	1	1.08853	0.5423288	0.4576712	35.31039	0.006506893	3.397368	0.724166	0.910812	1.05894	1.30608
600	-17023.86	-17005.66	-18.20046	41.98387	0.248234	0.253064	0.259045	0.239657	0.07864685	4.72009	0.161851	0.135966	0.673569	0.0171319	0.000587449	0.0004935	0.00244477	0.493315	0.506685	0.0413404	0.008020508	3.48671	0.791385	0	1.224033	3.660184	1	1	1	1.105977	0.5066849	0.4933151	88.38902	0.003629575	3.660184	0.811212	0.943322	1.04308	1.20238
700	-17021.99	-17004.13	-17.8615	41.29315	0.249002	0.251848	0.251091	0.248058	0.1396735	4.71143	0.143991	0.172438	0.827929	0.0166932	0.000510178	0.00061097	0.00293345	0.686833	0.313167	0.006113987	0.003635988	2.82628	0.742661	0	0.3921465	3.601715	1	1	1	1.093917	0.3131666	0.6868334	53.66211	0.003543122	3.601715	0.809706	0.942797	1.04338	1.20411
800	-17020.57	-17002.44	-18.12831	6.823161	0.253564	0.249929	0.251298	0.245209	0.1502253	4.47455	0.146252	0.231803	0.638737	0.0151673	0.000495747	0.000785742	0.00216512	0.314182	0.685818	0.070165	0.004669227	3.50392	0.518581	0	1.146277	3.856741	1	1	1	1.256243	0.6858182	0.3141818	39.19127	0.00338969	3.856741	0.56377	0.837696	1.07937	1.51917
900	-17025.34	-17006.46	-18.87627	34.30827	0.252988	0.243604	0.257965	0.245442	0.02993777	5.29733	0.308055	0.223122	0.379694	0.0170246	0.000990031	0.000717072	0.00122026	0.810394	0.189606	0.1726753	0.001821659	3.2746	0.567266	0	0.7359934	3.850114	1	1	1	1.175444	0.1896057	0.8103943	35.14878	0.003213808	3.850114	0.7921	0.936562	1.04681	1.22453
