Iteration	1	2	3	4	5	simmap
0	{3,3}	{2,0.714448:6,0.285552}	{1,1}	{7,1.71897:5,0.0491169:3,0.231916}	{3,0}	((n0:{1,1},n1:{2,0.714448:6,0.285552}):{7,1.71897:5,0.0491169:3,0.231916},n2:{3,3});
100	{3,3.83983}	{2,0.0928416}	{1,0.0928416}	{4,0.762437:1,2.1627:5,0.360775:3,0.461072}	{3,0}	((n1:{2,0.0928416},n0:{1,0.0928416}):{4,0.762437:1,2.1627:5,0.360775:3,0.461072},n2:{3,3.83983});
200	{3,3.13524}	{2,0.136343}	{1,0.136343}	{4,1.60995:7,0.115945:6,1.15437:3,0.118633}	{3,0}	((n0:{1,0.136343},n1:{2,0.136343}):{4,1.60995:7,0.115945:6,1.15437:3,0.118633},n2:{3,3.13524});
300	{3,3.00887:5,0.780936:3,0.206523}	{2,0.100099}	{1,0.100099}	{4,0.702124:1,0.861544:4,0.476408:1,0.734418:4,0.347484:7,0.165213:6,0.163871:3,0.445163}	{3,0}	((n1:{2,0.100099},n0:{1,0.100099}):{4,0.702124:1,0.861544:4,0.476408:1,0.734418:4,0.347484:7,0.165213:6,0.163871:3,0.445163},n2:{3,3.00887:5,0.780936:3,0.206523});
400	{3,3.68114}	{2,0.94803:4,0.0396662}	{1,0.987696}	{4,0.0126085:2,1.66059:6,0.02658:3,0.993663}	{3,0}	((n0:{1,0.987696},n1:{2,0.94803:4,0.0396662}):{4,0.0126085:2,1.66059:6,0.02658:3,0.993663},n2:{3,3.68114});
500	{3,2.90733:6,0.0061757:2,0.0575752:6,0.0230269:3,0.167102:5,0.0963029:7,0.0151751:6,0.00912967:2,0.0697485:6,0.0156656:3,0.0301369}	{2,0.835007:4,0.0804742:2,0.0403841:4,0.0759456:1,0.180134}	{1,0.989972:4,0.0657934:2,0.0420157:4,0.0243029:1,0.0898611}	{1,0.0559368:4,0.00603293:1,0.252496:4,0.047088:1,0.104222:4,0.00590554:1,0.180849:4,0.0133819:1,0.296167:4,0.0810634:2,0.0293114:4,0.0615999:2,0.0072092:4,0.0313887:2,0.113457:4,0.15304:1,0.257065:5,0.0518039:3,0.0731146:6,0.00214248:2,0.119623:4,0.0116256:2,0.0193392:6,0.0914504:3,0.12011}	{3,0}	((n1:{2,0.835007:4,0.0804742:2,0.0403841:4,0.0759456:1,0.180134},n0:{1,0.989972:4,0.0657934:2,0.0420157:4,0.0243029:1,0.0898611}):{1,0.0559368:4,0.00603293:1,0.252496:4,0.047088:1,0.104222:4,0.00590554:1,0.180849:4,0.0133819:1,0.296167:4,0.0810634:2,0.0293114:4,0.0615999:2,0.0072092:4,0.0313887:2,0.113457:4,0.15304:1,0.257065:5,0.0518039:3,0.0731146:6,0.00214248:2,0.119623:4,0.0116256:2,0.0193392:6,0.0914504:3,0.12011},n2:{3,2.90733:6,0.0061757:2,0.0575752:6,0.0230269:3,0.167102:5,0.0963029:7,0.0151751:6,0.00912967:2,0.0697485:6,0.0156656:3,0.0301369});
600	{3,3.58541:6,0.00101288:3,0.0737624}	{2,0.82267:4,0.00143296:1,0.0344095:4,0.0177227:1,0.0121167:4,0.00081646:1,0.109649:4,0.0327464:2,0.045317}	{1,0.875395:4,0.00952034:2,0.018518:4,0.0500219:2,0.123425}	{2,0.0157941:4,0.00985415:1,0.275212:4,0.00695713:1,0.164469:4,0.000592342:2,0.0552715:4,0.015023:2,0.0251323:4,0.00421983:2,0.0728124:4,0.0119538:1,0.0457284:4,0.00261886:1,0.00559356:4,0.00999421:1,0.14256:4,0.000787562:1,0.0232266:4,0.00404554:1,0.319572:4,0.00262599:1,0.00166128:4,0.00897808:2,0.00161189:4,0.00309281:2,0.0879844:4,0.0017119:2,0.132478:4,0.0109717:1,0.242912:4,0.00335266:2,0.0409527:4,0.00788426:1,0.156055:4,0.0164374:1,0.0898056:4,0.00344853:2,0.0978592:4,0.00191465:1,0.349387:5,0.00154974:7,0.00720563:5,0.00582586:3,0.0150523:6,0.0141774:3,0.0669507}	{3,0}	((n0:{1,0.875395:4,0.00952034:2,0.018518:4,0.0500219:2,0.123425},n1:{2,0.82267:4,0.00143296:1,0.0344095:4,0.0177227:1,0.0121167:4,0.00081646:1,0.109649:4,0.0327464:2,0.045317}):{2,0.0157941:4,0.00985415:1,0.275212:4,0.00695713:1,0.164469:4,0.000592342:2,0.0552715:4,0.015023:2,0.0251323:4,0.00421983:2,0.0728124:4,0.0119538:1,0.0457284:4,0.00261886:1,0.00559356:4,0.00999421:1,0.14256:4,0.000787562:1,0.0232266:4,0.00404554:1,0.319572:4,0.00262599:1,0.00166128:4,0.00897808:2,0.00161189:4,0.00309281:2,0.0879844:4,0.0017119:2,0.132478:4,0.0109717:1,0.242912:4,0.00335266:2,0.0409527:4,0.00788426:1,0.156055:4,0.0164374:1,0.0898056:4,0.00344853:2,0.0978592:4,0.00191465:1,0.349387:5,0.00154974:7,0.00720563:5,0.00582586:3,0.0150523:6,0.0141774:3,0.0669507},n2:{3,3.58541:6,0.00101288:3,0.0737624});
700	{3,2.9398:5,0.0497133:7,0.0243893:5,0.0237377:1,0.0366637:5,0.0106463:7,0.00719002:4,0.00701126:2,0.0548134:4,0.0628823:2,0.00654607:4,0.0590881:2,0.0161702:6,0.0515096:2,0.200138:6,0.00743018:3,0.0439851}	{2,0.851655:4,0.00366057:1,0.173873:4,0.0200225:1,0.123115:4,0.0210302:1,0.134713:4,0.0229118:2,0.205118:4,0.0426155:2,0.118749}	{1,1.2539:4,0.00598664:2,0.189224:4,0.00787009:1,0.0439505:4,0.0884661:1,0.0449761:4,0.078753:2,0.00434038}	{2,0.199034:4,0.0289442:2,0.0714661:4,0.0273607:1,0.0649783:4,0.0614964:2,0.0277666:4,0.0548789:2,0.00689774:4,0.018868:2,0.0393871:4,0.138728:1,0.00975584:4,0.00953358:2,0.348028:6,0.00550729:7,0.037427:4,0.00171465:2,0.156787:6,0.00287214:2,0.0419752:4,0.00150763:2,0.209221:4,0.0743164:7,0.00194768:6,0.00257923:3,0.0673182:6,0.0120994:3,0.161856}	{3,0}	((n0:{1,1.2539:4,0.00598664:2,0.189224:4,0.00787009:1,0.0439505:4,0.0884661:1,0.0449761:4,0.078753:2,0.00434038},n1:{2,0.851655:4,0.00366057:1,0.173873:4,0.0200225:1,0.123115:4,0.0210302:1,0.134713:4,0.0229118:2,0.205118:4,0.0426155:2,0.118749}):{2,0.199034:4,0.0289442:2,0.0714661:4,0.0273607:1,0.0649783:4,0.0614964:2,0.0277666:4,0.0548789:2,0.00689774:4,0.018868:2,0.0393871:4,0.138728:1,0.00975584:4,0.00953358:2,0.348028:6,0.00550729:7,0.037427:4,0.00171465:2,0.156787:6,0.00287214:2,0.0419752:4,0.00150763:2,0.209221:4,0.0743164:7,0.00194768:6,0.00257923:3,0.0673182:6,0.0120994:3,0.161856},n2:{3,2.9398:5,0.0497133:7,0.0243893:5,0.0237377:1,0.0366637:5,0.0106463:7,0.00719002:4,0.00701126:2,0.0548134:4,0.0628823:2,0.00654607:4,0.0590881:2,0.0161702:6,0.0515096:2,0.200138:6,0.00743018:3,0.0439851});
800	{0,0.495923:3,3.00978:6,0.0182703:3,0.332772}	{0,0.505464:2,0.0712571:4,0.0233204:2,0.125006:4,0.00285231:1,0.213157}	{0,0.511821:1,0.0885996:4,0.0234527:2,0.0407386:4,0.0216771:2,0.125548:4,0.00624857:1,0.12297}	{1,0.366854:4,0.0197711:2,0.125017:4,0.0200038:1,0.170062:4,0.00850752:2,0.0954025:4,0.0346331:1,0.282438:4,0.0183091:2,0.578298:4,0.0237138:2,0.242123:4,0.0133031:1,0.00132072:4,0.0579137:1,0.0850295:4,0.00334038:1,0.285319:4,0.00558675:1,0.231446:4,0.0166368:1,0.154168:5,0.0392381:3,0.0372498}	{3,0}	((n0:{0,0.511821:1,0.0885996:4,0.0234527:2,0.0407386:4,0.0216771:2,0.125548:4,0.00624857:1,0.12297},n1:{0,0.505464:2,0.0712571:4,0.0233204:2,0.125006:4,0.00285231:1,0.213157}):{1,0.366854:4,0.0197711:2,0.125017:4,0.0200038:1,0.170062:4,0.00850752:2,0.0954025:4,0.0346331:1,0.282438:4,0.0183091:2,0.578298:4,0.0237138:2,0.242123:4,0.0133031:1,0.00132072:4,0.0579137:1,0.0850295:4,0.00334038:1,0.285319:4,0.00558675:1,0.231446:4,0.0166368:1,0.154168:5,0.0392381:3,0.0372498},n2:{0,0.495923:3,3.00978:6,0.0182703:3,0.332772});
900	{3,3.36535:5,0.0280289:3,0.256609:6,0.00127073:3,0.0212206:6,0.0541827:7,0.00316007:6,0.0384205:3,0.0221758:5,0.0469989:3,0.0126951}	{2,0.577995:4,0.0430522:2,0.228282:4,0.0123884:1,0.0981035:4,0.0319868:1,0.0729948:4,0.0159883:1,0.0746019}	{1,0.733781:4,0.00985806:1,0.0422985:4,0.01267:1,0.120588:4,0.00971132:1,0.226486}	{1,0.0139857:4,0.0109367:1,0.284922:4,0.0237458:1,0.138902:4,0.0801459:1,0.0364018:4,0.0172487:2,0.0226936:4,0.039675:2,0.0965624:4,0.0339478:1,0.186599:4,0.0742788:1,0.0526456:4,0.0489453:2,0.102328:4,0.0108934:2,0.0181206:4,0.0344575:1,0.0452797:4,0.000230637:1,0.198325:4,0.0689073:2,0.0121092:4,0.0601025:2,0.265389:4,0.0152494:2,0.220385:4,0.016282:7,0.0161907:5,0.0151954:1,0.189566:5,0.0120005:3,0.0995644:5,0.00313727:3,0.0040949:5,0.0547623:1,0.0105647:5,0.0192478:3,0.0361851:6,0.00429777:3,0.000218463}	{3,0}	((n0:{1,0.733781:4,0.00985806:1,0.0422985:4,0.01267:1,0.120588:4,0.00971132:1,0.226486},n1:{2,0.577995:4,0.0430522:2,0.228282:4,0.0123884:1,0.0981035:4,0.0319868:1,0.0729948:4,0.0159883:1,0.0746019}):{1,0.0139857:4,0.0109367:1,0.284922:4,0.0237458:1,0.138902:4,0.0801459:1,0.0364018:4,0.0172487:2,0.0226936:4,0.039675:2,0.0965624:4,0.0339478:1,0.186599:4,0.0742788:1,0.0526456:4,0.0489453:2,0.102328:4,0.0108934:2,0.0181206:4,0.0344575:1,0.0452797:4,0.000230637:1,0.198325:4,0.0689073:2,0.0121092:4,0.0601025:2,0.265389:4,0.0152494:2,0.220385:4,0.016282:7,0.0161907:5,0.0151954:1,0.189566:5,0.0120005:3,0.0995644:5,0.00313727:3,0.0040949:5,0.0547623:1,0.0105647:5,0.0192478:3,0.0361851:6,0.00429777:3,0.000218463},n2:{3,3.36535:5,0.0280289:3,0.256609:6,0.00127073:3,0.0212206:6,0.0541827:7,0.00316007:6,0.0384205:3,0.0221758:5,0.0469989:3,0.0126951});
