Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7
750000	2	2	2	1	2	3	4	4	2	2	4	2	4	4
750100	1	2	1	1	2	3	4	4	2	1	4	2	4	4
750200	2	2	2	1	4	3	4	4	4	2	4	4	4	4
750300	2	2	2	1	2	3	4	4	2	2	4	2	4	4
750400	1	2	1	1	3	3	4	4	3	1	4	3	4	4
750500	2	2	2	1	2	3	4	4	2	2	4	2	4	4
750600	2	2	2	1	4	3	4	4	4	2	4	4	4	4
750700	2	2	2	1	3	3	4	4	3	2	4	3	4	4
750800	5	2	2	1	2	3	4	4	2	5	4	2	4	4
750900	2	2	2	1	3	3	4	4	3	2	4	3	4	4
751000	1	2	1	1	3	3	4	4	3	1	4	3	4	4
751100	2	2	2	1	2	3	4	4	2	2	4	2	4	4
751200	1	2	1	1	3	3	4	4	3	1	4	3	4	4
751300	2	2	2	1	2	3	4	4	7	2	4	7	4	4
751400	1	2	1	1	3	3	4	4	3	1	4	3	4	4
751500	1	2	5	1	2	3	4	4	2	5	4	2	4	4
751600	2	2	2	1	4	3	4	4	4	2	4	4	4	4
751700	1	2	1	1	3	3	4	4	3	1	4	3	4	4
751800	1	2	1	1	2	3	4	4	2	1	4	2	4	4
751900	1	2	1	1	7	3	4	4	3	1	4	7	4	4
752000	1	2	1	1	2	3	4	4	2	1	4	2	4	4
752100	1	2	1	1	2	3	4	4	2	1	4	2	4	4
752200	2	2	2	1	3	3	4	4	3	2	4	3	4	4
752300	1	2	1	1	3	3	4	4	3	1	4	3	4	4
752400	2	2	2	1	3	3	4	4	2	2	4	7	4	4
752500	1	2	1	1	3	3	4	4	3	1	4	3	4	4
752600	2	2	2	1	3	3	4	4	3	2	4	3	4	4
752700	5	2	1	1	3	3	4	4	3	5	4	3	4	4
752800	2	2	2	1	2	3	4	4	2	2	4	2	4	4
752900	1	2	2	1	2	3	4	4	2	5	4	2	4	4
753000	1	2	1	1	3	3	4	4	3	1	4	3	4	4
