Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7
0	2	2	5	1	4	3	4	4	4	5	4	4	4	4
100	2	2	8	1	2	3	4	4	11	12	4	11	4	4
200	2	2	2	1	1	3	4	4	1	2	4	1	4	4
300	2	2	2	1	1	3	4	4	6	2	4	6	4	4
400	2	2	1	1	3	3	4	4	3	5	4	3	4	4
500	2	2	3	1	3	3	4	4	13	7	4	13	4	4
600	2	2	4	1	4	3	4	4	4	9	4	4	4	4
700	1	2	1	1	1	3	4	4	1	1	4	1	4	4
800	10	2	1	1	13	3	4	4	3	13	4	13	4	4
900	2	2	3	1	1	3	4	4	3	7	4	6	4	4
1000	2	2	3	1	3	3	4	4	3	7	4	3	4	4
1100	2	2	1	1	1	3	4	4	1	5	4	1	4	4
1200	4	2	1	1	1	3	4	4	4	8	4	8	4	4
1300	2	2	2	1	4	3	4	4	4	2	4	4	4	4
1400	3	2	3	1	3	3	3	4	4	3	4	3	4	4
1500	4	2	4	1	4	3	4	4	4	4	4	4	4	4
1600	1	2	3	1	6	3	4	4	4	6	4	13	4	4
1700	2	2	1	1	1	3	1	4	4	5	4	1	4	4
1800	3	2	4	1	4	3	4	4	4	10	4	4	4	4
1900	4	2	3	1	1	3	1	4	4	10	4	1	4	4
2000	1	2	3	1	4	3	4	4	4	6	4	4	4	4
2100	3	2	3	1	2	3	1	4	4	3	4	5	4	4
2200	4	2	8	1	4	3	4	4	4	8	4	4	4	4
2300	4	2	4	1	2	3	9	4	4	4	4	9	4	4
2400	5	2	3	1	4	3	4	4	4	11	4	4	4	4
2500	3	2	3	1	4	3	4	4	4	3	4	4	4	4
2600	8	2	4	1	4	3	4	4	4	8	4	4	4	4
2700	2	2	1	1	2	3	2	4	4	5	4	2	4	4
2800	8	2	4	1	1	3	6	4	4	8	4	6	4	4
2900	1	2	1	1	4	3	4	4	4	1	4	4	4	4
3000	2	2	2	1	4	3	4	4	4	2	4	4	4	4
3100	6	2	1	1	7	3	4	4	3	6	4	7	4	4
3200	4	2	1	1	4	3	4	4	4	8	4	4	4	4
3300	2	2	2	1	4	3	2	4	2	2	4	2	4	4
3400	1	2	1	1	4	3	4	4	4	1	4	4	4	4
3500	2	2	1	1	4	3	4	4	4	5	4	4	4	4
3600	4	2	10	1	4	3	4	4	4	10	4	4	4	4
3700	2	2	1	1	4	3	4	4	6	5	4	13	4	4
3800	13	2	1	1	4	3	13	4	4	13	4	13	4	4
3900	2	2	2	1	4	3	6	4	3	2	4	6	4	4
4000	4	2	4	1	4	3	1	4	3	4	4	6	4	4
4100	1	2	1	1	4	3	4	4	4	1	4	4	4	4
4200	3	2	4	1	4	3	4	4	4	10	4	4	4	4
4300	3	2	3	1	4	3	1	4	1	3	4	1	4	4
4400	4	2	4	1	4	3	2	4	2	4	4	2	4	4
4500	1	2	1	1	4	3	3	4	3	1	4	3	4	4
4600	1	2	1	1	4	3	3	4	3	1	4	3	4	4
4700	2	2	2	1	4	3	2	4	1	2	4	5	4	4
4800	1	2	1	1	4	3	1	4	1	1	4	1	4	4
4900	2	2	9	1	4	3	1	4	1	9	4	1	4	4
5000	2	2	1	1	4	3	3	4	3	5	4	3	4	4
5100	2	2	5	1	4	3	4	4	4	5	4	4	4	4
5200	4	2	4	1	4	3	2	4	9	4	4	9	4	4
5300	1	2	5	1	4	3	1	4	1	5	4	1	4	4
5400	2	2	2	1	4	3	3	4	3	2	4	3	4	4
5500	1	2	1	1	4	3	1	4	4	1	4	8	4	4
5600	2	2	1	1	4	3	4	4	9	5	4	9	4	4
5700	2	2	2	1	4	3	4	4	4	2	4	4	4	4
5800	3	2	3	1	2	3	4	4	2	3	4	2	4	4
5900	1	2	1	1	1	3	4	4	1	1	4	1	4	4
6000	1	2	1	1	2	3	4	4	2	1	4	2	4	4
6100	2	2	2	1	3	3	4	4	3	2	4	3	4	4
6200	1	2	4	1	4	3	2	4	2	8	4	2	4	4
6300	2	2	5	1	4	3	4	4	4	5	4	4	4	4
6400	2	2	2	1	4	3	4	4	4	2	4	4	4	4
6500	4	2	4	1	2	3	10	4	4	4	4	14	4	4
6600	3	2	3	1	1	3	1	4	4	3	4	1	4	4
6700	2	2	2	1	2	3	2	4	4	2	4	2	4	4
6800	1	2	1	1	8	3	3	4	4	1	4	13	4	4
6900	2	2	2	1	8	3	4	4	4	2	4	8	4	4
7000	4	2	4	1	4	3	4	4	4	4	4	4	4	4
7100	2	2	2	1	1	3	4	4	4	2	4	8	4	4
7200	3	2	3	1	4	3	4	4	4	3	4	4	4	4
7300	4	2	4	1	4	3	9	4	4	4	4	9	4	4
7400	4	2	4	1	2	3	1	4	4	4	4	5	4	4
7500	4	2	1	1	7	3	2	4	4	8	4	7	4	4
7600	1	2	1	1	4	3	4	4	4	1	4	4	4	4
7700	2	2	11	1	3	3	10	4	4	11	4	10	4	4
7800	1	2	1	1	5	3	1	4	4	1	4	5	4	4
7900	4	2	1	1	3	3	3	4	4	8	4	3	4	4
8000	2	2	2	1	6	3	3	4	4	2	4	6	4	4
8100	4	2	8	1	3	3	3	4	4	8	4	3	4	4
8200	4	2	4	1	11	3	2	4	4	4	4	11	4	4
8300	1	2	1	1	3	3	4	4	4	1	4	10	4	4
8400	3	2	2	1	4	3	4	4	4	7	4	4	4	4
8500	1	2	1	1	4	3	2	4	4	1	4	9	4	4
8600	2	2	2	1	11	3	3	4	4	2	4	11	4	4
8700	2	2	2	1	3	3	3	4	4	2	4	3	4	4
8800	2	2	2	1	3	3	3	4	4	2	4	3	4	4
8900	3	2	3	1	4	3	4	4	4	3	4	4	4	4
9000	2	2	2	1	2	3	2	4	4	2	4	2	4	4
9100	1	2	1	1	3	3	3	4	4	1	4	3	4	4
9200	2	2	4	1	3	3	3	4	4	9	4	3	4	4
9300	3	2	3	1	4	3	4	4	4	3	4	4	4	4
9400	14	2	4	1	4	3	4	4	4	14	4	4	4	4
9500	2	2	2	1	7	3	3	4	4	2	4	7	4	4
9600	3	2	3	1	4	3	4	4	4	3	4	4	4	4
9700	2	2	2	1	3	3	3	4	4	2	4	3	4	4
9800	1	2	1	1	1	3	1	4	4	1	4	1	4	4
9900	2	2	2	1	1	3	1	4	4	2	4	1	4	4
10000	4	2	2	1	7	3	4	4	4	9	4	14	4	4
10100	1	2	1	1	4	3	4	4	4	1	4	4	4	4
10200	1	2	1	1	4	3	4	4	4	1	4	4	4	4
10300	2	2	2	1	4	3	4	4	4	2	4	4	4	4
10400	3	2	3	1	4	3	4	4	4	3	4	4	4	4
10500	2	2	9	1	9	3	2	4	4	9	4	9	4	4
10600	11	2	3	1	4	3	4	4	4	11	4	4	4	4
10700	4	2	4	1	1	3	6	4	4	4	4	6	4	4
10800	1	2	1	1	4	3	4	4	4	1	4	4	4	4
10900	3	2	3	1	4	3	1	4	1	3	4	1	4	4
11000	3	2	3	1	4	3	4	4	4	3	4	4	4	4
11100	1	2	1	1	4	3	4	4	4	1	4	4	4	4
11200	3	2	3	1	4	3	4	4	1	3	4	8	4	4
11300	4	2	4	1	4	3	4	4	4	4	4	4	4	4
11400	3	2	3	1	4	3	4	4	4	3	4	4	4	4
11500	4	2	9	1	1	3	2	4	4	9	4	5	4	4
11600	8	2	1	1	3	3	10	4	4	8	4	10	4	4
11700	4	2	9	1	3	3	3	4	4	9	4	3	4	4
11800	3	2	6	1	4	3	4	4	4	6	4	4	4	4
11900	4	2	4	1	10	3	4	4	4	4	4	10	4	4
12000	2	2	2	1	2	3	4	4	4	2	4	9	4	4
12100	3	2	3	1	3	3	3	4	4	3	4	3	4	4
12200	1	2	1	1	4	3	8	4	4	1	4	8	4	4
12300	2	2	2	1	2	3	2	4	4	2	4	2	4	4
12400	8	2	4	1	4	3	4	4	4	8	4	4	4	4
12500	4	2	3	1	4	3	3	4	4	10	4	10	4	4
12600	2	2	2	1	2	3	2	4	4	2	4	2	4	4
12700	8	2	4	1	9	3	4	4	4	8	4	9	4	4
12800	2	2	2	1	2	3	4	4	1	2	4	5	4	4
12900	4	2	4	1	1	3	4	4	1	4	4	1	4	4
13000	2	2	4	1	2	3	4	4	4	9	4	9	4	4
13100	1	2	1	1	2	3	4	4	6	1	4	11	4	4
13200	2	2	9	1	4	3	4	4	4	9	4	4	4	4
13300	1	2	1	1	10	3	4	4	1	1	4	13	4	4
13400	2	2	2	1	3	3	4	4	3	2	4	3	4	4
13500	1	2	4	1	4	3	4	4	4	8	4	4	4	4
13600	4	2	4	1	10	3	4	4	2	4	4	14	4	4
13700	3	2	3	1	13	3	4	4	1	3	4	13	4	4
13800	2	2	2	1	8	3	4	4	4	2	4	8	4	4
13900	1	2	1	1	1	3	4	4	1	1	4	1	4	4
14000	3	2	6	1	2	3	4	4	2	6	4	2	4	4
14100	2	2	2	1	2	3	4	4	2	2	4	2	4	4
14200	2	2	2	1	14	3	4	4	2	2	4	14	4	4
14300	2	2	2	1	1	3	4	4	1	2	4	1	4	4
14400	2	2	2	1	1	3	4	4	10	2	4	13	4	4
14500	1	2	1	1	2	3	4	4	2	1	4	2	4	4
14600	1	2	1	1	4	3	4	4	4	1	4	4	4	4
14700	2	2	2	1	1	3	4	4	2	2	4	5	4	4
14800	3	2	3	1	1	3	4	4	1	3	4	1	4	4
14900	2	2	2	1	2	3	4	4	2	2	4	2	4	4
15000	2	2	9	1	4	3	4	4	4	9	4	4	4	4
15100	2	2	14	1	4	3	4	4	4	14	4	4	4	4
15200	2	2	2	1	3	3	4	4	7	2	4	7	4	4
15300	1	2	1	1	4	3	4	4	4	1	4	4	4	4
15400	2	2	2	1	4	3	4	4	4	2	4	4	4	4
15500	1	2	1	1	4	3	4	4	4	1	4	4	4	4
15600	2	2	2	1	4	3	4	4	4	2	4	4	4	4
15700	9	2	1	1	2	3	4	4	8	12	4	12	4	4
15800	3	2	3	1	4	3	4	4	4	3	4	4	4	4
15900	2	2	6	1	13	3	4	4	3	11	4	13	4	4
16000	2	2	1	1	3	3	4	4	2	5	4	7	4	4
16100	11	2	1	1	3	3	4	4	3	11	4	3	4	4
16200	3	2	7	1	3	3	4	4	3	7	4	3	4	4
16300	3	2	3	1	1	3	4	4	3	3	4	6	4	4
16400	4	2	3	1	1	3	4	4	1	10	4	1	4	4
16500	1	2	1	1	3	3	4	4	7	1	4	7	4	4
16600	4	2	4	1	2	3	4	4	2	4	4	2	4	4
16700	8	2	1	1	1	3	4	4	1	8	4	1	4	4
16800	5	2	2	1	4	3	4	4	4	5	4	4	4	4
16900	2	2	1	1	4	3	4	4	4	5	4	4	4	4
17000	2	2	5	1	1	3	4	4	1	5	4	1	4	4
17100	2	2	2	1	2	3	4	4	2	2	4	2	4	4
17200	5	2	1	1	2	3	4	4	2	5	4	2	4	4
17300	1	2	1	1	3	3	4	4	1	1	4	6	4	4
17400	1	2	1	1	3	3	4	4	3	1	4	3	4	4
17500	2	2	1	1	2	3	4	4	2	5	4	2	4	4
17600	2	2	3	1	3	3	4	4	3	7	4	3	4	4
17700	2	2	8	1	3	3	4	4	3	12	4	3	4	4
17800	2	2	3	1	3	3	4	4	3	7	4	3	4	4
17900	1	2	1	1	1	3	4	4	1	1	4	1	4	4
18000	2	2	2	1	1	3	4	4	1	2	4	1	4	4
18100	2	2	3	1	6	3	4	4	3	7	4	6	4	4
18200	2	2	2	1	2	3	4	4	7	2	4	7	4	4
18300	1	2	1	1	1	3	4	4	1	1	4	1	4	4
18400	4	2	12	1	4	3	4	4	4	12	4	4	4	4
18500	2	2	1	1	4	3	4	4	8	5	4	8	4	4
18600	2	2	2	1	2	3	4	4	7	2	4	7	4	4
18700	3	2	3	1	3	3	4	4	3	3	4	3	4	4
18800	1	2	1	1	1	3	4	4	1	1	4	1	4	4
18900	4	2	9	1	1	3	4	4	1	9	4	1	4	4
19000	4	2	4	1	4	3	4	4	4	4	4	4	4	4
19100	1	2	1	1	8	3	4	4	4	1	4	8	4	4
19200	4	2	4	1	2	3	4	4	2	4	4	2	4	4
19300	3	2	13	1	9	3	4	4	4	13	4	9	4	4
19400	3	2	3	1	4	3	4	4	4	3	4	4	4	4
19500	5	2	1	1	4	3	4	4	4	5	4	4	4	4
19600	2	2	2	1	4	3	4	4	4	2	4	4	4	4
19700	2	2	2	1	3	3	4	4	3	2	4	3	4	4
19800	4	2	4	1	1	3	4	4	1	4	4	1	4	4
19900	2	2	2	1	2	3	4	4	2	2	4	2	4	4
20000	3	2	6	1	2	3	4	4	4	6	4	9	4	4
20100	4	2	2	1	4	3	4	4	4	9	4	4	4	4
20200	3	2	3	1	4	3	4	4	4	3	4	4	4	4
20300	1	2	1	1	4	3	4	4	4	1	4	4	4	4
20400	4	2	4	1	1	3	4	4	8	4	4	8	4	4
20500	1	2	1	1	1	3	4	4	1	1	4	1	4	4
20600	2	2	6	1	4	3	4	4	4	11	4	4	4	4
