Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7
0	2	2	2	1	3	3	4	4	3	2	4	3	4	4
100	2	2	5	1	3	3	4	4	3	5	4	3	4	4
200	1	2	1	1	2	3	4	4	5	1	4	5	4	4
300	4	2	2	1	2	3	4	4	2	9	4	2	4	4
400	2	2	2	1	4	3	4	4	4	2	4	4	4	4
500	2	2	2	1	3	3	4	4	3	2	4	3	4	4
600	5	2	1	1	12	3	4	4	2	5	4	12	4	4
700	2	2	5	1	2	3	4	4	2	5	4	2	4	4
800	2	2	2	1	2	3	4	4	2	2	4	2	4	4
900	2	2	1	1	3	3	4	4	3	5	4	3	4	4
1000	3	2	3	1	1	3	4	4	1	3	4	1	4	4
1100	7	2	2	1	2	3	4	4	2	7	4	2	4	4
1200	3	2	3	1	12	3	4	4	2	3	4	12	4	4
1300	2	2	5	1	1	3	4	4	1	5	4	1	4	4
1400	7	2	2	1	1	3	4	4	5	7	4	5	4	4
1500	12	2	4	1	1	3	4	4	13	12	4	13	4	4
1600	3	2	3	1	3	3	4	4	3	3	4	3	4	4
1700	2	2	5	1	4	3	4	4	4	5	4	4	4	4
1800	2	2	2	1	2	3	4	4	2	2	4	2	4	4
1900	2	2	1	1	1	3	4	4	4	5	4	8	4	4
2000	1	2	1	1	4	3	4	4	1	1	4	8	4	4
2100	4	2	1	1	4	3	4	4	4	8	4	4	4	4
2200	4	2	1	1	4	3	4	4	4	8	4	4	4	4
2300	1	2	8	1	4	3	4	4	4	8	4	4	4	4
2400	4	2	4	1	4	3	1	4	4	4	4	8	4	4
2500	3	2	3	1	4	3	4	4	4	3	4	4	4	4
2600	2	2	2	1	4	3	4	4	4	2	4	4	4	4
2700	1	2	1	1	4	3	4	4	4	1	4	4	4	4
2800	2	2	2	1	4	3	4	4	4	2	4	4	4	4
2900	1	2	1	1	4	3	4	4	4	1	4	4	4	4
3000	4	2	1	1	4	3	8	4	1	8	4	8	4	4
3100	2	2	4	1	4	3	1	4	1	9	4	1	4	4
3200	2	2	2	1	4	3	2	4	2	2	4	2	4	4
3300	3	2	3	1	4	3	4	4	4	3	4	4	4	4
3400	4	2	3	1	4	3	4	4	4	10	4	4	4	4
3500	4	2	4	1	4	3	4	4	4	4	4	4	4	4
3600	2	2	2	1	4	3	4	4	4	2	4	4	4	4
3700	2	2	2	1	4	3	4	4	4	2	4	4	4	4
3800	4	2	1	1	3	3	4	4	10	8	4	10	4	4
3900	4	2	4	1	4	3	4	4	4	4	4	4	4	4
4000	2	2	1	1	1	3	4	4	4	5	4	8	4	4
4100	3	2	1	1	4	3	4	4	4	6	4	4	4	4
4200	2	2	1	1	1	3	4	4	1	5	4	1	4	4
4300	6	2	1	1	4	3	4	4	4	6	4	4	4	4
4400	2	2	1	1	2	3	4	4	2	5	4	2	4	4
4500	2	2	8	1	4	3	4	4	4	12	4	4	4	4
4600	2	2	2	1	4	3	4	4	4	2	4	4	4	4
4700	7	2	1	1	1	3	4	4	1	11	4	1	4	4
4800	11	2	1	1	3	3	4	4	7	11	4	7	4	4
4900	2	2	5	1	2	3	4	4	2	5	4	2	4	4
5000	4	2	5	1	3	3	4	4	3	12	4	3	4	4
5100	5	2	1	1	2	3	4	4	2	5	4	2	4	4
5200	2	2	1	1	4	3	4	4	1	5	4	8	4	4
5300	2	2	5	1	2	3	4	4	3	5	4	7	4	4
5400	1	2	1	1	3	3	4	4	3	1	4	3	4	4
5500	2	2	1	1	4	3	4	4	4	5	4	4	4	4
5600	5	2	1	1	1	3	4	4	1	5	4	1	4	4
5700	1	2	1	1	3	3	4	4	3	1	4	3	4	4
5800	1	2	1	1	1	3	4	4	1	1	4	1	4	4
5900	2	2	2	1	2	3	4	4	1	2	4	5	4	4
6000	2	2	1	1	1	3	4	4	1	5	4	1	4	4
6100	2	2	4	1	4	3	4	4	4	9	4	4	4	4
6200	2	2	5	1	1	3	4	4	13	5	4	13	4	4
6300	2	2	5	1	9	3	4	4	2	5	4	9	4	4
6400	2	2	1	1	3	3	4	4	1	5	4	6	4	4
6500	2	2	1	1	2	3	4	4	2	5	4	2	4	4
6600	2	2	1	1	3	3	4	4	1	5	4	6	4	4
6700	4	2	3	1	2	3	4	4	2	10	4	2	4	4
6800	2	2	2	1	3	3	4	4	4	2	4	10	4	4
6900	4	2	4	1	2	3	4	4	2	4	4	2	4	4
7000	6	2	1	1	2	3	4	4	2	6	4	2	4	4
7100	2	2	2	1	6	3	4	4	4	2	4	13	4	4
7200	1	2	8	1	1	3	4	4	1	8	4	1	4	4
7300	2	2	2	1	1	3	4	4	1	2	4	1	4	4
7400	1	2	1	1	3	3	4	4	3	1	4	3	4	4
7500	2	2	2	1	4	3	4	4	4	2	4	4	4	4
7600	2	2	2	1	4	3	4	4	4	2	4	4	4	4
7700	2	2	2	1	5	3	4	4	1	2	4	5	4	4
7800	2	2	2	1	4	3	4	4	4	2	4	4	4	4
7900	1	2	1	1	4	3	4	4	4	1	4	4	4	4
8000	2	2	2	1	7	3	4	4	4	2	4	14	4	4
8100	3	2	3	1	3	3	4	4	3	3	4	3	4	4
8200	1	2	1	1	3	3	4	4	3	1	4	3	4	4
8300	2	2	1	1	3	3	4	4	2	5	4	7	4	4
8400	2	2	1	1	4	3	4	4	4	5	4	4	4	4
8500	11	2	1	1	4	3	4	4	4	11	4	4	4	4
8600	5	2	1	1	4	3	4	4	9	5	4	9	4	4
8700	2	2	9	1	3	3	4	4	3	9	4	3	4	4
8800	5	2	1	1	4	3	4	4	1	5	4	8	4	4
8900	1	2	1	1	4	3	4	4	1	1	4	8	4	4
9000	2	2	10	1	3	3	4	4	3	14	4	3	4	4
9100	7	2	1	1	6	3	4	4	4	11	4	13	4	4
9200	1	2	1	1	4	3	4	4	4	1	4	4	4	4
9300	2	2	2	1	3	3	4	4	3	2	4	3	4	4
9400	9	2	4	1	4	3	4	4	10	9	4	10	4	4
9500	5	2	1	1	4	3	4	4	4	5	4	4	4	4
9600	9	2	1	1	3	3	4	4	4	12	4	10	4	4
9700	1	2	1	1	2	3	4	4	2	1	4	2	4	4
9800	5	2	2	1	1	3	4	4	1	5	4	1	4	4
9900	9	2	1	1	4	3	4	4	4	12	4	4	4	4
10000	1	2	1	1	4	3	4	4	4	1	4	4	4	4
10100	1	2	1	1	4	3	4	4	4	1	4	4	4	4
10200	2	2	12	1	4	3	4	4	7	12	4	14	4	4
10300	2	2	12	1	1	3	4	4	1	12	4	1	4	4
10400	2	2	2	1	4	3	4	4	4	2	4	4	4	4
10500	3	2	3	1	3	3	4	4	3	3	4	3	4	4
10600	5	2	2	1	3	3	4	4	13	5	4	13	4	4
10700	3	2	6	1	4	3	4	4	8	6	4	8	4	4
10800	5	2	1	1	4	3	4	4	4	5	4	4	4	4
10900	2	2	3	1	2	3	4	4	2	7	4	2	4	4
11000	2	2	2	1	3	3	4	4	3	2	4	3	4	4
11100	3	2	3	1	3	3	4	4	3	3	4	3	4	4
11200	2	2	2	1	9	3	4	4	4	2	4	9	4	4
11300	2	2	2	1	3	3	4	4	3	2	4	3	4	4
11400	2	2	2	1	4	3	4	4	4	2	4	4	4	4
11500	1	2	1	1	1	3	4	4	1	1	4	1	4	4
11600	2	2	2	1	1	3	4	4	1	2	4	1	4	4
11700	2	2	2	1	4	3	4	4	4	2	4	4	4	4
11800	2	2	1	1	4	3	4	4	3	5	4	10	4	4
11900	2	2	1	1	4	3	4	4	2	5	4	9	4	4
12000	2	2	8	1	3	3	4	4	3	12	4	3	4	4
12100	3	2	8	1	9	3	4	4	2	13	4	9	4	4
12200	1	2	1	1	3	3	4	4	3	1	4	3	4	4
12300	1	2	4	1	5	3	4	4	3	8	4	11	4	4
12400	2	2	2	1	2	3	4	4	2	2	4	2	4	4
12500	2	2	2	1	4	3	4	4	1	2	4	8	4	4
12600	1	2	1	1	1	3	4	4	1	1	4	1	4	4
12700	2	2	5	1	2	3	4	4	2	5	4	2	4	4
12800	2	2	2	1	4	3	4	4	4	2	4	4	4	4
12900	5	2	1	1	3	3	4	4	2	5	4	7	4	4
13000	1	2	1	1	4	3	4	4	4	1	4	4	4	4
13100	4	2	2	1	3	3	4	4	3	9	4	3	4	4
13200	3	2	3	1	4	3	4	4	4	3	4	4	4	4
13300	4	2	4	1	3	3	4	4	3	4	4	3	4	4
13400	1	2	1	1	4	3	4	4	4	1	4	4	4	4
13500	4	2	9	1	10	3	4	4	4	9	4	10	4	4
13600	3	2	13	1	4	3	4	4	10	13	4	10	4	4
13700	2	2	3	1	4	3	4	4	4	7	4	4	4	4
13800	4	2	4	1	3	3	4	4	3	4	4	3	4	4
13900	2	2	2	1	2	3	4	4	3	2	4	7	4	4
14000	2	2	3	1	1	3	4	4	4	7	4	8	4	4
14100	2	2	2	1	3	3	4	4	3	2	4	3	4	4
14200	1	2	1	1	1	3	4	4	4	1	4	8	4	4
14300	2	2	3	1	1	3	4	4	1	7	4	1	4	4
14400	3	2	3	1	4	3	4	4	4	3	4	4	4	4
14500	1	2	1	1	4	3	4	4	3	1	4	10	4	4
14600	4	2	4	1	4	3	4	4	4	4	4	4	4	4
14700	2	2	2	1	4	3	4	4	4	2	4	4	4	4
14800	3	2	3	1	4	3	4	4	4	3	4	4	4	4
14900	3	2	3	1	4	3	4	4	4	3	4	4	4	4
15000	1	2	1	1	4	3	4	4	4	1	4	4	4	4
15100	4	2	4	1	4	3	4	4	4	4	4	4	4	4
15200	8	2	1	1	4	3	4	4	4	8	4	4	4	4
15300	4	2	4	1	3	3	3	4	4	4	4	3	4	4
15400	3	2	4	1	2	3	2	4	4	10	4	2	4	4
15500	2	2	11	1	4	3	4	4	4	11	4	4	4	4
15600	4	2	4	1	4	3	4	4	4	4	4	4	4	4
15700	4	2	3	1	4	3	4	4	4	10	4	4	4	4
15800	3	2	10	1	4	3	3	4	10	10	4	10	4	4
15900	4	2	4	1	4	3	4	4	4	4	4	4	4	4
16000	1	2	1	1	4	3	2	4	2	1	4	2	4	4
16100	4	2	4	1	4	3	4	4	4	4	4	4	4	4
16200	1	2	1	1	4	3	4	4	4	1	4	4	4	4
16300	7	2	3	1	4	3	3	4	3	7	4	3	4	4
16400	2	2	2	1	4	3	4	4	2	2	4	9	4	4
16500	3	2	1	1	4	3	2	4	3	6	4	7	4	4
16600	2	2	2	1	4	3	3	4	3	2	4	3	4	4
16700	4	2	10	1	4	3	4	4	4	10	4	4	4	4
16800	1	2	1	1	4	3	4	4	8	1	4	8	4	4
16900	4	2	4	1	4	3	4	4	8	4	4	8	4	4
17000	2	2	8	1	4	3	1	4	1	12	4	1	4	4
17100	2	2	9	1	4	3	4	4	4	9	4	4	4	4
17200	1	2	1	1	4	3	1	4	1	1	4	1	4	4
17300	4	2	1	1	4	3	4	4	4	8	4	4	4	4
17400	5	2	2	1	4	3	4	4	4	5	4	4	4	4
17500	2	2	2	1	4	3	4	4	4	2	4	4	4	4
17600	2	2	1	1	4	3	4	4	4	5	4	4	4	4
17700	4	2	1	1	4	3	4	4	4	8	4	4	4	4
17800	3	2	8	1	4	3	2	4	4	13	4	9	4	4
17900	11	2	1	1	4	3	4	4	4	11	4	4	4	4
18000	2	2	2	1	4	3	2	4	14	2	4	14	4	4
18100	2	2	2	1	4	3	3	4	3	2	4	3	4	4
18200	2	2	2	1	4	3	3	4	3	2	4	3	4	4
18300	14	2	2	1	4	3	8	4	4	14	4	8	4	4
18400	1	2	1	1	4	3	4	4	9	1	4	9	4	4
18500	7	2	3	1	4	3	3	4	3	7	4	3	4	4
18600	2	2	5	1	4	3	8	4	4	5	4	8	4	4
18700	1	2	1	1	4	3	4	4	8	1	4	8	4	4
18800	2	2	7	1	4	3	3	4	13	7	4	13	4	4
18900	2	2	2	1	4	3	3	4	10	2	4	10	4	4
19000	3	2	3	1	4	3	3	4	10	3	4	10	4	4
19100	5	2	2	1	4	3	1	4	1	5	4	1	4	4
19200	4	2	4	1	4	3	4	4	4	4	4	4	4	4
19300	1	2	1	1	4	3	4	4	4	1	4	4	4	4
19400	9	2	4	1	4	3	4	4	4	9	4	4	4	4
19500	2	2	5	1	2	3	4	4	2	5	4	2	4	4
19600	1	2	1	1	5	3	4	4	1	1	4	5	4	4
19700	7	2	4	1	3	3	4	4	2	14	4	7	4	4
